,r
ENSG00000136997.10,1
ENSG00000249859.3,0.522437753088625
ENSG00000141101.8,0.508305986573278
ENSG00000198755.6,0.499028226881504
ENSG00000141384.7,0.489962669959328
ENSG00000174444.10,0.478975051749239
ENSG00000070756.9,0.478973258153335
ENSG00000112306.7,0.477382115793897
ENSG00000171490.8,0.476624168116276
ENSG00000247626.3,0.475915492754553
ENSG00000100316.11,0.47213081519262
ENSG00000189007.11,0.468469249751347
ENSG00000142937.7,0.465781313557544
ENSG00000104408.5,0.462008110647428
ENSG00000197958.8,0.461842454023094
ENSG00000177192.9,0.461691713968034
ENSG00000170889.9,0.460625158713907
ENSG00000188846.9,0.45981888795471
ENSG00000183605.12,0.457897156068129
ENSG00000170684.4,0.456128789699033
ENSG00000231500.2,0.455537423748001
ENSG00000254772.5,0.454868930299559
ENSG00000135372.4,0.454473410166754
ENSG00000126602.6,0.454105047141329
ENSG00000167526.9,0.453228235298511
ENSG00000142541.12,0.45322537577375
ENSG00000063177.8,0.452298755266042
ENSG00000105640.8,0.451794175804636
ENSG00000107815.3,0.451251857091222
ENSG00000155846.12,0.449356403705015
ENSG00000107833.6,0.448666746764461
ENSG00000122406.8,0.446384905673923
ENSG00000143947.8,0.445238874983928
ENSG00000063046.13,0.444941472242897
ENSG00000234741.3,0.441041661614881
ENSG00000142676.8,0.438760409741888
ENSG00000170638.5,0.437554651280958
ENSG00000130255.8,0.435338071242946
ENSG00000147604.9,0.433794775892511
ENSG00000166441.8,0.433773452110626
ENSG00000149273.10,0.433703731602683
ENSG00000118181.6,0.43335239839542
ENSG00000163811.7,0.433188450200552
ENSG00000089157.11,0.432999148921181
ENSG00000162244.6,0.432585812321882
ENSG00000163682.11,0.432546422664818
ENSG00000148303.12,0.430228208239852
ENSG00000136149.6,0.430008924699149
ENSG00000184428.8,0.429069794522368
ENSG00000178035.7,0.428911466556323
ENSG00000124614.9,0.425531386168769
ENSG00000134419.11,0.424266104433823
ENSG00000105364.9,0.423602877546047
ENSG00000242125.2,0.422175464264535
ENSG00000139239.6,0.421526612491858
ENSG00000214485.5,0.421371379975426
ENSG00000186468.8,0.418156031718892
ENSG00000066379.10,0.417944796412069
ENSG00000100304.12,0.417339252572172
ENSG00000137970.7,0.41726802429961
ENSG00000105373.14,0.416632136126843
ENSG00000087269.11,0.416369026472731
ENSG00000227097.4,0.412956658467299
ENSG00000108298.5,0.410349695634749
ENSG00000114942.9,0.410187200240929
ENSG00000110700.2,0.409917512620393
ENSG00000105202.3,0.409464350835001
ENSG00000071082.6,0.40909461949899
ENSG00000090447.7,0.408940526984132
ENSG00000166197.12,0.408112419324022
ENSG00000204628.7,0.407926255462212
ENSG00000182810.5,0.40703633634245
ENSG00000145425.5,0.405966893430011
ENSG00000177600.4,0.405380867317097
ENSG00000213442.4,0.405106715455915
ENSG00000229638.1,0.404000049645031
ENSG00000236552.1,0.403396941440623
ENSG00000109475.12,0.403387518033354
ENSG00000246582.2,0.403290266655075
ENSG00000138326.14,0.402565911561335
ENSG00000048162.15,0.402467695374576
ENSG00000233927.4,0.402207571389316
ENSG00000196531.6,0.400664242608586
ENSG00000133316.11,0.399553598790891
ENSG00000023892.9,0.399149154107208
ENSG00000100353.13,0.399046899243585
ENSG00000156508.13,0.395529822052258
ENSG00000213553.3,0.39546798181476
ENSG00000240376.1,0.395058532536645
ENSG00000214706.6,0.394881225496652
ENSG00000125691.8,0.394869590414567
ENSG00000197258.5,0.394322003353315
ENSG00000144713.8,0.392485666767107
ENSG00000137818.7,0.392285865860067
ENSG00000204196.4,0.391586759728195
ENSG00000213741.4,0.390060032553923
ENSG00000161970.8,0.389464105481161
ENSG00000225031.1,0.388887111200454
ENSG00000226360.4,0.388761872709329
ENSG00000265681.2,0.388666601179075
