Name,Gene
mSE_00001,Prdm14
mSE_00002,Dst
mSE_00003,Hs6st1
mSE_00004,Hs6st1
mSE_00005,Tmem131
mSE_00006,Mreg
mSE_00007,Igfbp2
mSE_00008,Fbxo36
mSE_00009,Gbx2
mSE_00010,Tfcp2l1
mSE_00011,Gli2
mSE_00012,Inhbb
mSE_00013,Inhbb
mSE_00014,Gpr37l1
mSE_00015,Zfp281
mSE_00016,Nr5a2
mSE_00017,Lamc2
mSE_00018,Gpa33
mSE_00019,Uck2
mSE_00020,Lefty2
mSE_00021,Lefty1
mSE_00022,Enah
mSE_00023,Etl4
mSE_00024,Fnbp1
mSE_00025,Prrc2b
mSE_00026,Zbtb34
mSE_00027,Gm1631
mSE_00028,Gm1631
mSE_00029,Tcf15
mSE_00030,Id1
mSE_00031,Cbfa2t2
mSE_00032,Ift52
mSE_00033,Mybl2
mSE_00034,Sulf2
mSE_00035,Sall4
mSE_00036,Zfp704
mSE_00037,Sox2
mSE_00038,Sox2
mSE_00039,Ssr2
mSE_00040,Mcl1
mSE_00041,Polr3gl
mSE_00042,Ankrd35
mSE_00043,Bcas2
mSE_00044,Elovl6
mSE_00045,Tet2
mSE_00046,Manba
mSE_00047,Klf4
mSE_00048,Kank4
mSE_00049,Slc2a1
mSE_00050,Macf1
mSE_00051,Ftl2
mSE_00052,Dlgap3
mSE_00053,Pum1
mSE_00054,Pum1
mSE_00055,Usp48
mSE_00056,Alpl
mSE_00057,Camk2n1
mSE_00058,Epha2
mSE_00059,B330016D10Rik
mSE_00060,Tmem51os1
mSE_00061,Kazn
mSE_00062,Agtrap
mSE_00063,Ski
mSE_00064,Ski
mSE_00065,Fam53a
mSE_00066,Rbpj
mSE_00067,Klf3
mSE_00068,Mir469
mSE_00069,Hspb8
mSE_00070,Med13l
mSE_00071,Med13l
mSE_00072,Tbx3
mSE_00073,Tbx3
mSE_00074,Rhof
mSE_00075,Cldn4
mSE_00076,1700012A03Rik
mSE_00077,Mkrn1
mSE_00078,Mkrn1
mSE_00079,Smarcad1
mSE_00080,Gadd45a
mSE_00081,Zfml
mSE_00082,Slc6a6
mSE_00083,Phc1
mSE_00084,Dppa3
mSE_00085,Nanog
mSE_00086,Slc2a3
mSE_00087,Cd9
mSE_00088,Ldhb
mSE_00089,C2cd5
mSE_00090,Kras
mSE_00091,Mir290a
mSE_00092,Ube2s
mSE_00093,Zbtb45
mSE_00094,Capns1
mSE_00095,Nphs1os
mSE_00096,Uri1
mSE_00097,Hsd17b14
mSE_00098,Nav2
mSE_00099,Klf13
mSE_00100,Abhd2
mSE_00101,Zfp710
mSE_00102,Idh2
mSE_00103,Sema4b
mSE_00104,Mesdc2
mSE_00105,Tead1
mSE_00106,Ctbp2
mSE_00107,Utf1
