ProbeID,Symbol,ID
ILMN_2757780,Dgka,13139
ILMN_2773467,Ezh1,14055
ILMN_2634603,H2-K1,14972
ILMN_2793638,H2-T3,15043
ILMN_2780352,Insr,16337
ILMN_2855371,Klk1b7-ps,16604
ILMN_2673169,Klra6,16637
ILMN_2877059,Nedd4,17999
ILMN_1239024,Nlk,18099
ILMN_1239411,Strbp,20744
ILMN_1258076,Etv3,27049
ILMN_2744336,Tcl1b5,27382
ILMN_1221516,Icos,54167
ILMN_2732276,Tmem239,66766
ILMN_1218584,Rpp14,67053
ILMN_1257141,Bfar,67118
ILMN_1222383,Tctn2,67978
ILMN_2653881,Mul1,68350
ILMN_2981643,Ubr3,68795
ILMN_2856457,Krtap16-3,71369
ILMN_1233917,Lyrm7,75530
ILMN_2629030,Nudt16,75686
ILMN_2895546,Defb41,77673
ILMN_2897137,Gpr146,80290
ILMN_2622354,Arl4d,80981
ILMN_1254241,Gimap3,83408
ILMN_2727638,Loxl2,94352
ILMN_1234172,D8Ertd738e,101966
ILMN_3104915,Try5,103964
ILMN_2494061,Xrcc4,108138
ILMN_2427178,Trim41,211007
ILMN_2778555,Proca1,216974
ILMN_2625725,Fam171a2,217219
ILMN_2746766,Ppp2r5a,226849
ILMN_3161688,Wnk1,232341
ILMN_2731424,Zbtb44,235132
ILMN_2767764,Tor1aip2,240832
ILMN_2675677,Pnma3,245468
ILMN_1216825,Vmn1r189,252906
ILMN_2975408,Olfr1290,257662
ILMN_2926265,Olfr1039,257950
ILMN_2944076,Olfr1434,258680
ILMN_2996445,Maml2,270118
ILMN_1255630,Adam1b,280667
ILMN_1220774,Vwa5b2,328643
ILMN_2995646,Dennd1b,329260
ILMN_2794844,Cngb1,333329
ILMN_2732519,Defa22,382059
ILMN_1230821,Ankfn1,382543
ILMN_3161790,Nlrc5,434341
ILMN_3161892,AI429214,621080
ILMN_2810827,Gm11237,623197
ILMN_2971177,Hmcn2,665700
ILMN_3114461,Zfp936,668620
ILMN_2940312,Cstdc6,100038854
ILMN_2724055,Gm10413,100041774
ILMN_1255772,Oaz1-ps,100041965
ILMN_2616448,9130019P16Rik,100042056
ILMN_2849567,Gm4425,100043416
ILMN_2741006,Rubcn,100502698
ILMN_1253044,Tsga8,100502723
ILMN_3161514,Ccdc13,100502861
ILMN_2952006,Olfr331,100502887
ILMN_2952493,Gm38423,100502924
ILMN_2829549,Gm38423,100502924
ILMN_2682702,Gm4814,100502942
ILMN_2939517,Ccdc149,100503884
ILMN_2903718,AY761185,100503970
ILMN_3163156,Gm6040,100503992
ILMN_2846821,Gm10037,102637366
ILMN_2948344,4930594M22Rik,105245866
ILMN_2604834,Oog3,100012
ILMN_2606136,Ldlrap1,100017
ILMN_1260383,Mdn1,100019
ILMN_2864309,Wfdc17,100034251
ILMN_2802103,Mfap1b,100034361
ILMN_2909163,Tmsb15b2,100034363
ILMN_2870549,Dnajc3,100037258
ILMN_1258360,Gm11837,100038514
ILMN_2832802,Olfr55,100038859
ILMN_3009589,Olfr239,100038860
ILMN_1256257,Isg15,100038882
ILMN_2691049,Gm14548,100038909
ILMN_1236074,Gm2042,100039087
ILMN_2633502,Duxbl2,100039227
ILMN_2616545,Duxbl2,100039227
ILMN_2450137,Vmn1r186,100039479
ILMN_1256964,Vmn1r186,100039479
ILMN_2506628,Vmn1r187,100039499
ILMN_2595967,Gm10029,100039532
ILMN_1236631,Gm10335,100039571
ILMN_1239946,Atp6v0c-ps2,100039636
ILMN_2689488,Gm9745,100039655
ILMN_2819553,Gm20815,100039753
ILMN_1229628,Olfr157,100040268
ILMN_2678486,Gm10448,100040538
ILMN_3160454,Gm15142,100040899
ILMN_2830821,Gm3090,100041004
ILMN_2589902,Olfr596,100041187
ILMN_3161105,Ahnak2,100041194
ILMN_1248210,D4Ertd617e,100041290
ILMN_2850839,Supt4b,100041294
ILMN_2672418,Cyp3a41b,100041375
ILMN_2684413,Gm12226,100041400
ILMN_1233901,Gm10146,100041500
ILMN_2992239,Amd2,100041585
ILMN_1249590,Amd2,100041585
ILMN_1252511,Gal3st2b,100041596
ILMN_2740838,Mpc1-ps,100041649
ILMN_2655222,1700049E17Rik2,100041722
ILMN_1231037,Gm3486,100041729
ILMN_1230991,Gm10039,100041835
ILMN_2499546,Gm3627,100042018
ILMN_2618461,Gm9803,100042179
ILMN_2588056,Gm3839,100042427
ILMN_1217879,Gm10131,100042777
ILMN_3062349,Rex2,100043034
ILMN_3139986,Rex2,100043034
ILMN_1234453,Rbm3-ps,100043257
ILMN_2740432,Rpl10-ps1,100043391
ILMN_2473597,Vmn1r100,100043536
ILMN_3033278,Gm4567,100043645
ILMN_3106932,Gm4567,100043645
ILMN_2752974,Scgb2b7,100043836
ILMN_2736071,Gm14567,100046796
ILMN_1238743,Lrrc19,100061
ILMN_2800986,Cyp2j11,100066
ILMN_1258039,Cyp2j11,100066
ILMN_2594376,Yy2,100073351
ILMN_2599412,Kti12,100087
ILMN_2745425,Rcc1,100088
ILMN_2756023,Pcsk9,100102
ILMN_2818678,Tdrd7,100121
ILMN_2590975,Gpr153,100129
