kidney_es01_cells_myc_on	kidney_es01_cells_myc_off_24hr	kidney_es01_cells_myc_off_48hr	kidney_es01_cells_myc_off_72hr	kidney_es02_cells_myc_on	kidney_es02_cells_myc_off_24hr	kidney_es02_cells_myc_off_48hr	kidney_es02_cells_myc_off_72hr
ILMN_2417611	5.58768219593971	5.66347634325184	5.56278585149214	5.47602643850875	5.31509547716469	5.49195580454553	5.55231470042423	5.52756063303206
ILMN_2896528	11.1532657442359	11.5325036819383	11.2602444719585	10.3240705397413	10.8810273275261	11.5325036819383	11.2648194257661	10.3933400426844
ILMN_2721178	9.37729849956201	9.82471547400105	9.38478318358995	8.35748789563205	9.167476072011	9.65027724598666	9.29787310845043	8.43894578034296
ILMN_2458837	5.519625167242	5.55961012097213	5.53295349224385	5.6145222079516	5.63533039948453	5.6121652562234	5.5409801106003	5.5751367487371
ILMN_3033922	9.4694857372742	10.3834743986291	10.2243071289157	9.41578654817326	9.41861594990186	10.4350054003435	9.79433851031496	9.42773576838116
ILMN_3092673	11.2964371164616	12.3103854256788	12.4674839194471	11.4725733172494	11.4111061662849	12.0788073614886	12.0117766802516	11.3292796162656
ILMN_1230777	10.9076470607436	11.789512707401	11.7936023440958	11.1041543946871	11.096073045261	11.6367032892299	11.456069698617	10.8167958767487
ILMN_1246069	12.0378939449041	11.7946845696775	11.4111061662849	10.9552005390202	12.1103781706444	11.9256160497955	11.4769412076948	11.1802084803539
ILMN_1243193	10.1944843230388	9.65607011244167	9.71843102762256	9.84762094049145	9.88538435298535	9.18153425330873	9.63246440032298	9.73954604730166
ILMN_1233188	5.61397502344655	5.52661265496109	5.61029278519945	5.69925917313874	5.42389254979078	5.52068102249125	5.40117878578616	5.68211697569066
ILMN_2543688	5.51419411690606	5.67722904192043	5.81266401663611	5.92388558603137	5.82956618625387	5.8939859432185	5.88988055120559	6.08527621806418
ILMN_1259789	6.69528477999301	6.21136298980695	5.93503630653694	6.23464187857217	6.40829090743784	5.9501761828185	6.26280107612775	6.10912811924947
ILMN_2816356	6.65410990379834	6.03512968554144	6.28630302085619	6.39707959372445	6.74718425458751	6.0618545124205	6.15918016571549	6.45246391934009
ILMN_1224596	7.6450252006915	6.49462825463116	6.47971748320245	6.99876176604933	7.3355281411233	6.534554471201	6.6516510208185	6.96249653456649
ILMN_2808939	10.2145953680227	9.86037290555425	9.27938316165985	9.2734018050975	10.0223310862617	9.65908491477702	9.24656808816143	9.19468751845734
ILMN_2771349	10.6212262216508	10.113257828152	9.24943914851078	9.35537397562467	10.1944843230388	9.81749549324668	9.27087526675344	9.60260995793623
ILMN_2773981	10.4106380364595	10.0235559690921	9.48042264058797	9.44552249412398	10.129480810401	9.90446723826153	9.45375944164559	9.55697121529613
ILMN_2634564	9.84931664030813	9.87871526568875	9.65149528758697	9.63132752567977	9.850507071023	9.23590769051807	9.36849322946715	9.25394909629312
ILMN_2435996	8.18750394412276	7.53330705007999	7.61721903588006	7.62857558644398	7.95283274114022	7.07578824621012	6.97708196872507	6.74852216585839
ILMN_2480021	8.21044183353488	7.57311914400368	7.57594193511684	7.51722883635973	8.00921537664319	7.12776262024564	7.05320055157016	6.73108409022491
ILMN_1236537	5.98086068777493	6.03731176589257	5.88309473781313	5.84923077844971	5.87375236720814	5.95239723040746	5.78896581236232	5.8861728415287
ILMN_2734484	8.52820286264295	9.14337530529506	9.16258370674108	8.66136664838114	9.00711464614129	9.63946866867071	9.06862980305559	8.49535609184546
ILMN_2952292	8.49748552949047	8.52247388904703	7.99913370026806	7.55081853363249	8.27454961234275	7.68162345980271	7.37625228441039	7.20148880029959
ILMN_1233543	5.84100760375837	7.2748763998105	7.15975632014154	6.22515662232855	5.93358458789027	7.1421360385844	6.67709086657035	6.06924354598479
ILMN_1213681	8.72431743029124	8.67058583857175	8.67708266303909	8.42919272762027	8.7102508977707	8.99728796131491	9.01283317686528	8.53843602214044
ILMN_2735413	6.64391395052113	7.31748384224755	6.84604599298257	6.39287577939039	6.67686370580057	6.96273510261937	6.65508534194928	6.45144736471496
ILMN_2735415	7.03133963949194	7.34581160588049	7.24186305909749	6.79544111517241	6.71098216322289	7.03945756803924	7.01269255202322	6.66843718305504
ILMN_1237980	5.55049200217864	5.62797173342122	5.90113316888067	5.69246573258678	5.77258678784502	5.70560363684083	5.72714966580389	5.80051637025253
ILMN_2891688	9.78134942608868	10.268227052557	9.73309262501306	9.1323069289902	9.53396585754758	10.4796165876603	9.94366036228323	9.36420815614934
