liver_hcc4.4_cells_myc_on	liver_hcc4.4_cells_myc_off_24hr	liver_hcc4.4_cells_myc_off_48hr	liver_hcc4.4_cells_myc_off_72hr	liver_ec4_cells_myc_on	liver_ec4_cells_myc_off_24hr	liver_ec4_cells_myc_off_48hr	liver_ec4_cells_myc_off_72hr
ILMN_2417611	5.47192427114396	5.38412434065886	5.44726138184601	5.37176771593344	5.4364783188159	5.5632166013916	5.50990517743868	5.55864854159881
ILMN_2896528	6.61974831532184	6.55669282656507	6.62079742948749	6.69017045573559	11.4884351106911	11.9708395924088	11.4352705998906	11.7229371224738
ILMN_2721178	5.8994080130617	5.79523774092426	5.8681928159802	5.85413956030232	9.64407954225268	10.1781578892773	9.60977137287553	10.1553123688949
ILMN_2458837	5.43966701609385	5.44692803513566	5.48870760019628	5.29748546596539	5.42700633579447	5.43463339797963	5.59755549454436	5.54707609687406
ILMN_3033922	9.83316395388698	9.85468587313068	9.71528849676546	9.37692280335871	9.52184638844825	10.4412191603356	10.0612288064179	10.342144550321
ILMN_3092673	11.8856069646527	11.9734641470298	11.750481678363	11.5697831158296	11.5084548366982	12.1878170307848	11.6725618036835	12.2488924601335
ILMN_1230777	11.3914251905292	11.4448930421811	11.0290235141088	11.027790172114	11.0306331718267	11.7450236201244	11.1924456303229	11.7766262082213
ILMN_1246069	11.1480677076869	10.5733328653588	10.4937255057895	10.7839104537151	11.9960160861408	11.4992778012582	11.6805723185254	11.357876079774
ILMN_1243193	10.2752853039437	10.2264817367208	10.3078209663786	10.4321527273695	11.2384052618242	11.0193182862305	11.0585749084014	10.7895505578216
ILMN_1233188	5.44432653479189	5.41993738940464	5.38503363732997	5.50178747573955	5.33061423884894	5.55954783279793	5.48961385966192	5.42700633579447
ILMN_2543688	5.59018457355214	5.35861357825595	5.67969522096569	5.52681470004281	5.93607506037415	6.09833435908638	6.03392458125048	5.73575465369052
ILMN_1259789	7.09420043492263	6.59412477775665	6.39457731249972	6.09188195760128	6.68986918854654	6.33791542823891	6.39652590170764	6.07952755736732
ILMN_2816356	6.58683241500214	6.16703697308729	6.14178311674921	6.21394513743548	6.15796723665725	5.9531750968641	6.26394770614211	5.89845268163853
ILMN_1224596	7.07960638109389	6.58068089211008	6.6377527619753	6.59607234133995	6.25089264322871	6.06702198415451	6.59038275656973	5.95844106536394
ILMN_2808939	8.90992588896257	9.08878171411714	9.53400879270886	9.90723723282874	8.73651812024944	8.65299837440575	9.17990467486387	9.04163899619806
ILMN_2771349	9.4883766748288	9.44535767806293	9.65279344725898	9.93051914300223	9.01826090428402	9.04019439450751	9.63954099870879	9.10614174941565
ILMN_2773981	9.37076152826426	9.37392283900218	9.68210497659946	10.1226523052592	8.9148782552207	8.78216436537327	9.5468123415862	9.3295408733875
ILMN_2634564	8.83879557050182	8.77565402182001	9.23560964823751	8.73214558575833	8.74248308804797	8.68066543737544	8.40700942646303	8.45518618072239
ILMN_2435996	6.96448383048762	7.40140317182395	7.37565722445795	7.38633200877652	7.26382762304172	6.92138024223268	6.36185995027975	7.39808866657818
ILMN_2480021	6.85921128515298	7.34848108261377	7.2230213701046	7.4268213850007	7.24793131000449	6.88100631294427	6.39032835337095	7.49332299452546
ILMN_1236537	5.71211194667569	5.87437842405835	5.89574748672349	5.89845268163853	5.82659999757533	5.87768701945702	5.88362616162706	5.78620159227133
ILMN_2734484	8.1259260075959	8.56419127417426	8.90073369964103	8.72171237470588	8.13999502800319	8.4882704171768	9.14478934752158	9.04454726095945
ILMN_2952292	7.274625551029	7.03853001260697	7.15363474047524	7.51911372179357	7.30791799302522	7.21630679990132	7.53780244758261	7.73720854947607
ILMN_1233543	6.60602789722016	7.3175511103634	6.58292583061375	6.28993060015527	5.69426235448707	6.20599149945432	5.64390383399173	5.71785039268895
ILMN_1213681	8.31619785300714	8.06206476172709	7.71958108190036	7.5669656171267	8.532850652706	8.5131858915477	7.99895303229674	8.2431360110493
ILMN_2735413	5.86083495531407	5.66411806718029	5.6186895374725	5.48923098109003	5.81952126914922	6.16316607201728	5.80541902770464	5.63851248159504
ILMN_2735415	5.82643386156971	5.63169909677379	5.6873418422618	5.63482389826657	5.88539438230742	5.92960402217082	5.80003052748351	5.94904397133233
ILMN_1237980	5.56085554925891	5.68319682762753	5.45209414188293	5.60746828798511	5.70610793184107	5.45996806209489	5.85121008479197	5.54298420666538
ILMN_2891688	8.10220636556405	7.82679553560743	8.32453504368018	8.14880963468836	9.35820857283545	9.16738411664521	9.20349966765412	8.82635145380917
ILMN_2484274	8.53632969468326	8.05205792309938	8.15602276253588	8.2122747658372	9.40661266598109	9.29114459125637	9.08239580228633	9.19361344721885
ILMN_2686463	7.72844486735538	7.60605583275804	7.74757294470227	7.80660874629984	8.83569512264964	8.82518475034962	9.1897504150486	9.07439046675407
