lymphoma_4188_cells_myc_on	lymphoma_4188_cells_myc_off_24hr	lymphoma_4188_cells_myc_off_48hr
ILMN_2417611	5.49327681450677	5.43838412621472	5.53301423887993
ILMN_2896528	10.5805487734974	11.3799925370272	11.6904067644226
ILMN_2721178	9.01155872033105	9.56776015464398	9.98726860784253
ILMN_2458837	5.47025083562595	5.38679094721496	5.49299066694387
ILMN_3033922	8.36797555682401	8.81736381340073	9.11054029438366
ILMN_3092673	10.0877461368165	10.7471501536725	11.1062950955511
ILMN_1230777	9.61633704917804	10.1291357343085	10.4759728471446
ILMN_1246069	12.1736036465025	10.8462872332958	10.502804295491
ILMN_1243193	11.0755698443328	10.2330963452795	10.4073021137177
ILMN_1233188	5.47834574658911	5.59548128232454	5.55418678510231
ILMN_2543688	5.76676237110055	6.08097645065194	5.78136530942184
ILMN_1259789	6.92375849612879	6.5663746691098	6.56774677124532
ILMN_2816356	6.69343305870677	6.48848919428869	6.27327473657418
ILMN_1224596	7.49561868795449	7.06990691765386	6.96819330419791
ILMN_2808939	10.213760798284	9.57948370791461	9.33560942224581
ILMN_2771349	10.4501616848504	9.96125770816203	9.81632546346205
ILMN_2773981	10.1937651737322	9.79623038681926	9.52093324347716
ILMN_2634564	9.22023126930606	9.04408833397138	9.15721554559347
ILMN_2435996	6.66857845285581	6.86009912330987	6.65128642703562
ILMN_2480021	6.84707405473193	6.92278854089171	6.77399764336262
ILMN_1236537	6.0011920601408	5.90423688373181	5.95426192824969
ILMN_2734484	8.26566801855488	8.30117500144413	8.05124937025643
ILMN_2952292	7.16103780024004	6.5536215636867	6.28477864256813
ILMN_1233543	5.81389762803797	6.26907629695827	5.90995195012555
ILMN_1213681	7.50522853706285	7.37152691852754	7.09953086455943
ILMN_2735413	5.5962365777353	5.46199646019383	5.54333791245589
ILMN_2735415	5.59171382054214	5.55352127172072	5.5810598463748
ILMN_1237980	5.98971578837277	6.09465355758843	6.58568426878721
ILMN_2891688	9.14122338071629	8.65628457954201	8.8833868236487
ILMN_2484274	8.93885729443065	8.55407217714247	8.8352154339289
ILMN_2686463	8.66742051427212	9.21062540407287	8.3824966459288
ILMN_2712923	7.98882024072515	7.13116553572124	7.15186321287137
ILMN_2670313	8.20046397417076	9.00490236602872	8.5162033797331
ILMN_2637698	9.51933503751758	10.7542074607436	11.1821720966878
ILMN_2674228	9.62178540891017	9.82336543534932	9.41419805461775
ILMN_2438555	9.40352351780949	8.42508397373533	8.11917596725306
ILMN_2848071	6.07450657809714	6.15373738732484	6.12844339895766
ILMN_1248518	5.49498408493778	5.6258108142595	5.66835440975665
ILMN_2658619	10.8095781680555	10.3182087406172	10.5215179976516
ILMN_2682917	5.65432086846043	5.49258013827048	5.46105362911472
ILMN_2972403	5.73795593482872	5.60335632434857	5.79416049105929
ILMN_2973337	6.11404352068508	5.79045884661862	5.88377141497044
ILMN_2549368	5.63522484165857	5.60759939443726	5.81977060916489
ILMN_1226653	7.417780518951	7.34417190479763	7.6291280538209
ILMN_2655105	8.47874346807426	8.73496652801619	8.49899649282614
ILMN_2544634	6.97492465342174	8.01916647472517	8.04283053489345
ILMN_2653890	6.22915111325206	5.99615596202104	6.05093007450847
ILMN_1220374	9.11855128482867	9.60626257101162	9.6326501082818
ILMN_2444799	6.46229847454677	5.96756581669876	6.02284034773244
ILMN_2727437	6.78474606945913	7.88701828881978	8.33289124211502
ILMN_2628021	8.81936578100967	10.4357042879995	10.7062746899963
ILMN_2793281	8.10814003536563	9.61133919185226	9.88000144803468
ILMN_1234456	6.53103064801344	7.44608222463907	6.77215399057973
ILMN_2611352	9.13151746300965	8.14494624330562	7.90232345593309
ILMN_2622630	8.87665128489102	7.94531019312213	7.7849615141147
ILMN_2495446	5.78115002660777	5.99065555330469	5.67804917497265
ILMN_1230077	5.84118473665104	6.59297178074712	6.14105015787216
ILMN_1246762	5.70272771886228	5.44602778508907	5.55712116685803
ILMN_2470615	7.48281225825683	8.05178590354629	8.25758333191262
ILMN_2596016	8.40670927581047	8.99286556247062	9.09146077541715
ILMN_1242334	6.70497153353083	7.36140518400123	7.254421455506
ILMN_2915716	5.84702108767565	5.7247631256488	5.64878274735121
ILMN_1258239	7.30747315332585	6.85004302988951	7.05262745999817
ILMN_1240205	5.75535923974136	5.81099330703848	5.88087601111388
ILMN_1259701	6.8763421754737	7.58015000791663	7.39447555661873
ILMN_1237581	8.15773749659629	8.1724718472918	8.46162132237539
ILMN_2607196	7.26706349906593	7.00877109309602	7.16339339774499
ILMN_1235939	7.84051505749882	7.81517256048157	7.60197105598072
ILMN_2621882	11.3526320106538	11.6596897256451	11.7486278292574
ILMN_2850839	12.0650348214374	12.5901316527648	12.9480465564887
ILMN_2691869	11.2565509390246	11.9459775543168	12.1011159020022
