osteosarcoma_a7106_cells_myc_on	osteosarcoma_a7106_cells_myc_off_24hr	osteosarcoma_a8295_cells_myc_on	osteosarcoma_a8295_cells_myc_off_24hr
ILMN_2417611	5.84342030683227	5.69633093132761	5.86576357795336	5.67201800600485
ILMN_2896528	10.4775718472745	10.8850829831895	10.8751703145002	11.0553712452913
ILMN_2721178	9.06925862620503	8.78519496702794	9.15060746353405	8.9186623935877
ILMN_2458837	5.74329104427352	5.85972827157989	5.861898124034	5.7353304550818
ILMN_3033922	10.0894551819503	10.0508291466703	9.49933208457683	10.0348947150166
ILMN_3092673	11.2917871383918	11.5304318205846	10.8173704359881	11.4784225524537
ILMN_1230777	10.8042496271417	11.1825807308601	10.3002175516205	10.8700132510595
ILMN_1246069	12.1848373849041	11.0798739056661	12.0904713942936	11.4122201122871
ILMN_1243193	10.4620433694283	10.1157672228605	10.902257334809	10.905060706925
ILMN_1233188	6.93941025337259	9.04802667760909	7.942822657892	8.95422757813612
ILMN_2543688	8.80752550744042	10.9073704748817	9.19227419495308	11.0331096149656
ILMN_1259789	7.39087894863889	6.93590993042393	7.37722235393104	7.00411538596853
ILMN_2816356	7.25997106443253	6.87478897548989	6.83362066804861	6.76911350493207
ILMN_1224596	7.93235473237259	7.80677015783834	7.39769538022962	7.14831107586199
ILMN_2808939	10.6960088150148	10.3831990987881	10.6774547268844	10.5228271902214
ILMN_2771349	11.0292126742935	10.6428028633874	10.9669167163801	10.9913395490483
ILMN_2773981	10.8826957740116	10.776774542258	10.7325871964788	10.9206392443855
ILMN_2634564	9.55066238525462	9.63696830713375	9.20007639007729	9.51508173180777
ILMN_2435996	6.68242975103866	5.95037480157471	6.34723755842353	6.75884613789883
ILMN_2480021	6.49493880449925	5.98754541676213	6.47624055449838	6.82274799035236
ILMN_1236537	6.33170360442815	5.89812489439575	6.15217134921337	6.15361495666561
ILMN_2734484	9.13126587461804	9.60826022860839	8.94839723874537	8.8537664664448
ILMN_2952292	8.27719044218547	7.32420417871525	7.50197746773746	7.1985494028508
ILMN_1233543	6.29947166398949	6.92195932244932	6.21316037062237	6.57811345474116
ILMN_1213681	8.6555603280632	8.61935871775728	8.80353849085234	8.50537471037687
ILMN_2735413	6.0500288478433	6.04279058014189	6.00931576078039	6.17836064554545
ILMN_2735415	6.05710867477801	6.47118197221631	6.23539769685395	5.88106843015345
ILMN_1237980	6.02202635329273	5.88033448063068	5.92888080223312	5.86736443386784
ILMN_2891688	9.96983005489864	10.3946695446715	9.86164890463472	9.84026474736281
ILMN_2484274	9.87676743960253	9.89644393218777	9.67636200655693	9.37052945356398
ILMN_2686463	8.50116861447566	8.89213294500591	8.43881762960807	8.20355821243818
ILMN_2712923	8.17012623835556	8.31440197555936	8.04758487361869	7.96987184721926
ILMN_2670313	7.97814671132931	8.33844202047634	8.18989261591923	8.3432051511624
ILMN_2637698	10.0840276799155	11.2092407230292	10.0007717903469	10.7330589748414
ILMN_2674228	9.47607572649012	8.45118792547571	9.32778121174097	8.98822326297189
ILMN_2438555	9.00258565667344	7.66175209340479	8.766341230091	7.94655425485079
ILMN_2848071	6.73122228234895	6.4797042881721	6.36605533469821	6.46013947213862
ILMN_1248518	5.95729657456628	5.95407547961734	5.85995191186187	5.92534329397769
ILMN_2658619	11.0147317012912	11.5282175899988	10.5636441247029	11.0372082034424
ILMN_2682917	5.99196326022891	6.19759719982657	6.22662614858804	5.92079872667247
ILMN_2972403	6.25555440833645	6.37134300848396	6.10166730295357	6.22585697352235
ILMN_2973337	6.72052565472182	6.6326124869707	6.78940192171499	6.57546179680168
ILMN_2549368	6.02703503133247	6.26992169601037	6.25459649942191	6.21433850233123
ILMN_1226653	7.00643099798543	6.4801484881794	7.57942305135299	6.82311912612129
ILMN_2655105	7.61407530520959	7.22172389290423	7.93047878226167	7.43739421461045
ILMN_2544634	6.76303538093995	6.4775680933494	6.2929996551689	6.2942796076703
ILMN_2653890	6.52789974369025	6.38518877006318	6.33843983649068	6.27945216606486
ILMN_1220374	8.11428632922982	8.02551652440756	8.05197604401808	7.88297342537408
ILMN_2444799	7.61325795395506	7.93191170988487	7.02025493789126	6.88667237860485
ILMN_2727437	8.90229845514234	10.0491518045135	8.43837582245795	9.97755415977251
ILMN_2628021	10.6400385961896	11.9395840808313	10.4680700719992	11.849036951708
ILMN_2793281	10.2888505054303	11.6336201084995	9.83808581763247	11.1997335292661
ILMN_1234456	7.13983372464361	6.98774464083413	6.99672373189558	6.65705618577172
ILMN_2611352	9.32087443012135	9.38723586516118	9.11304174208508	9.15545243901679
ILMN_2622630	8.68873121475515	8.70758268072031	8.63964956609482	8.68379372417913
ILMN_2495446	5.98774998341192	6.12303365799868	5.82912517706533	5.92190762671414
ILMN_1230077	6.82364396891062	6.95664884222639	6.96251403089753	7.00227777181997
ILMN_1246762	6.0215458531192	5.97545977781107	6.06339427230041	5.85760777388451
ILMN_2470615	7.61809620004968	7.48131771306075	7.93541981972457	8.14419375280757
ILMN_2596016	9.22190450342613	9.25840744649047	8.89713429220673	8.70467099031382
ILMN_1242334	7.32602403734246	7.27804470341869	6.57516118473058	6.82567211759363
ILMN_2915716	6.33661607997269	6.07074464439581	6.17760764917152	6.13976901921881
ILMN_1258239	7.39702682547047	7.75537783495539	6.94347832585752	6.76808836251166
ILMN_1240205	6.70931166108561	6.64781646540841	6.28544050526107	6.15810785104598
ILMN_1259701	7.39937983361366	8.38326904261721	7.37552256637023	7.69688965336417
ILMN_1237581	7.38467325074419	8.03157742956412	7.61879659341527	8.59617959759705
ILMN_2607196	7.70671408941104	7.80784593445976	7.99795186415882	7.91263549535312
ILMN_1235939	7.51472095696906	6.89055369913251	7.42264362079489	7.11804222210335
ILMN_2621882	11.5304318205846	12.6217989709447	11.5350211326878	12.4914346916718
ILMN_2850839	12.5937578778829	12.2252073616148	12.1667107382264	12.1208769352359
ILMN_2691869	12.1529828053655	11.6409127964228	11.5451954482873	11.3259962764963
ILMN_1216463	6.60217513197135	6.60290678367633	6.14087674385214	6.27324535901891
ILMN_2659694	5.64630596888606	5.79079106171381	5.82937245059988	5.83025747948593
ILMN_2523903	11.8702114443602	11.4413947733207	11.7290026015436	11.6444960183765
ILMN_2651743	6.00998992152612	6.13965668575517	5.9225700128552	5.97887270670545
ILMN_1217369	7.11246765665406	6.56438876312732	7.52913105158605	6.79766347105925
ILMN_2789047	9.65776409758026	8.96786199991278	9.13086119604033	8.38944237308853
ILMN_2550016	9.44360970750292	10.3315277659538	9.57806883477101	9.38420288637464
ILMN_2958076	12.1208769352359	10.2919099918238	10.5861372645936	9.71884193074423
ILMN_1239895	9.88894061677567	10.3775529942192	9.60660221642045	9.98222604783192
ILMN_1238713	10.3738982950755	10.889048533782	10.0740801669858	10.5193064984123
ILMN_1248658	9.84425676456751	10.4460519921892	9.30597832750794	9.52198108433841
ILMN_2634338	10.2202694865791	10.3024267303499	10.0827670784922	9.63992928955596
ILMN_1218725	11.3418038593949	12.4232318832461	12.1401021700088	11.9374385597715
ILMN_2938179	10.5603101426385	9.30502271171962	9.61965661539714	9.05171977663014
ILMN_1225158	11.3034017626803	12.339268730724	11.2552662938602	12.1894097861974
ILMN_2452855	9.62026510378998	8.15447840296498	8.5967534899825	8.47431019539496
ILMN_1213881	8.81846027019133	9.34450319720296	9.24920905624691	9.19879407003765
ILMN_1257567	6.45649142869182	6.14700756501072	6.27657161795387	6.28324720283356
ILMN_1242099	6.11286972284132	6.082673160827	6.14849569934978	5.91277068315287
ILMN_2483786	7.23858554258888	6.65205060897469	7.35447155530333	6.99860481431625
ILMN_1244997	5.9689555912588	5.91828908541566	5.91977619815249	5.93508146223569
ILMN_2596761	8.23206662588969	9.07084821494659	8.28546579777158	7.88389890047456
