"ID","Symbol","logFC","P.Value","adj.P.Val"
15129,"Hbb-b1",-6.49571473366501,2.72910056911857e-30,3.98803466165296e-26
71562,"Afmid",-2.76104346075049,2.25697157019869e-24,1.64905627776567e-20
13087,"Cyp2a5",-5.1826724339911,8.27272035923403e-18,4.0296420869829e-14
17288,"Mep1b",-4.42026576897904,1.69154122798065e-14,6.17962299112031e-11
12575,"Cdkn1a",4.28861943910759,3.16990820831977e-14,9.26437372963536e-11
103149,"Upb1",-4.00690167155455,1.64811176598013e-13,4.0139762060446e-10
107766,"Haao",-4.2157976218253,1.38706932119e-12,2.8956062843642e-09
14402,"Gabrb3",-4.13438019431398,1.28683014407987e-11,2.08938321060434e-08
93734,"Mpv17l",-4.44057463226478,1.23948003490655e-11,2.08938321060434e-08
268782,"Agxt2",-3.26111121320036,1.59393152525386e-11,2.32921213785347e-08
11826,"Aqp1",-2.96790556113892,2.80008754845271e-11,3.28657420483603e-08
100066,"Cyp2j11",-4.80972102838351,2.92379830718322e-11,3.28657420483603e-08
109652,"Acy1",-3.26101610464975,2.51940470117058e-11,3.28657420483603e-08
75735,"Pank1",-2.67089261699452,4.46897966904345e-11,4.66465713598086e-08
57742,"Abhd1",-3.95794095704741,4.88944852139368e-11,4.76330074954173e-08
68126,"Fahd2a",-2.9971057506674,7.99026132053713e-11,7.29760554231307e-08
21857,"Timp1",5.25492845049335,1.33955040694042e-10,1.15146177038943e-07
76187,"Adhfe1",-3.67645649031248,1.85011653396274e-10,1.50198627282209e-07
11867,"Arpc1b",2.65027444654979,3.11278258465124e-10,2.26219708422021e-07
12499,"Entpd5",-2.4330842942428,3.67583674159102e-10,2.26219708422021e-07
19240,"Tmsb10",3.3662930581239,3.5633648273656e-10,2.26219708422021e-07
20315,"Cxcl12",-3.5592323159789,3.33830388576424e-10,2.26219708422021e-07
83924,"Gpr137b",-2.99944315089576,3.0956847237709e-10,2.26219708422021e-07
97820,"4833439L19Rik",-3.42690030056374,3.71537193056081e-10,2.26219708422021e-07
654812,"Angptl7",-4.61719006433311,4.59665295030947e-10,2.68683558251489e-07
107995,"Cdc20",3.87749317688963,5.46071451492291e-10,3.06913158486802e-07
394430,"Ugt1a10",-3.31584601060266,6.32418998493065e-10,3.42279215739969e-07
332942,"Ldc1",-4.06679615191759,7.17490347234191e-10,3.74453087290473e-07
15493,"Hsd3b2",-3.48845031582502,8.34870497884899e-10,4.20688365020415e-07
14161,"Fga",3.44142997234327,8.88164915375846e-10,4.32625130279575e-07
30877,"Gnl3",2.08481949942927,9.36408373553297e-10,4.41410824604333e-07
16905,"Lmna",1.87688891392252,9.93678358616846e-10,4.53769432952124e-07
14570,"Arhgdig",3.65169064868128,1.07347658897173e-09,4.75354951352844e-07
68352,"Aspdh",-4.78679265061608,1.2048422509253e-09,5.17834112140336e-07
20497,"Slc12a3",-2.32879080678401,1.24879621856384e-09,5.21390261196385e-07
14619,"Gjb2",-3.34725186515644,1.54047535750765e-09,6.25304622201646e-07
60455,"Tmem8",-2.09827596066228,1.94620651020521e-09,7.68646371179156e-07
55938,"Apom",-3.69248417475923,2.65877793024925e-09,1.02244004986138e-06
65086,"Lpar3",-3.2565727475767,3.08155217861808e-09,1.15463389708067e-06
14060,"F13b",-3.93538185603765,3.62523893106009e-09,1.32439041248953e-06
30956,"Aass",-2.35096280244159,4.51163161791879e-09,1.53598453025787e-06
72462,"Rrp1b",3.05842573847046,4.62487643408926e-09,1.53598453025787e-06
207151,"Slc22a19",-5.42716336699365,4.4906118901338e-09,1.53598453025787e-06
207683,"Igsf11",-2.24272166130842,4.56991826320849e-09,1.53598453025787e-06
105355,"Slc17a3",-5.46717878671205,5.12176304032091e-09,1.66320718462688e-06
