"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2449986",-8.08815048081957,10.2587930257456,-46.1291609054876,4.57057956469557e-11,3.10789605267053e-07,14.4110987315417
"ILMN_2803249",-6.97594701092293,10.1084248427281,-45.4854239351374,5.11747242373857e-11,3.10789605267053e-07,14.353534273028
"ILMN_1234449",-6.65813276590807,9.26115582201215,-44.3077713024496,6.31920404640649e-11,3.10789605267053e-07,14.243741305525
"ILMN_2953807",-7.740478490088,10.4793309279444,-43.9728239505011,6.71674597496169e-11,3.10789605267053e-07,14.2114103974943
"ILMN_2739847",-6.6942990553131,9.53873478145027,-43.8282701433489,6.89693323126032e-11,3.10789605267053e-07,14.1973014470575
"ILMN_2917053",-7.10147846465854,9.45905286387231,-39.4969849408831,1.59154655065527e-10,5.87309114149776e-07,13.7265861620246
"ILMN_1231625",-7.34128089784556,9.68662021342021,-38.830494414654,1.82466992101923e-10,5.87309114149776e-07,13.6450250285563
"ILMN_1217352",-5.04363697472224,8.41706202701593,-30.914117314222,1.13606976287431e-09,3.19959847841512e-06,12.4318280915274
"ILMN_2970494",-7.82301874699951,10.056026577646,-29.9384582814638,1.46867307342809e-09,3.67674144637871e-06,12.2439142520837
"ILMN_2622856",-4.4074786469295,8.53191805142228,-29.5333180900946,1.637903395823e-09,3.69036014112881e-06,12.1628581384604
"ILMN_2740465",-5.08031528646422,9.63948045457395,-29.0491489943697,1.86954401465929e-09,3.82933601766259e-06,12.0635587073349
"ILMN_2671435",-4.32102318659794,8.62379362506926,-26.8467616819768,3.51168474398103e-09,6.59348074721972e-06,11.5758582202664
"ILMN_2815450",-4.93018545882061,8.87390995911058,-26.3055027300045,4.13210448441482e-09,6.67411998670691e-06,11.446225912815
"ILMN_2758803",-5.20487963336017,9.41375344039676,-26.2935958034825,4.1470720258265e-09,6.67411998670691e-06,11.4433278169765
"ILMN_2774563",-8.29734131280774,10.2665135745768,-25.805781082646,4.81593233409176e-09,6.76969725057891e-06,11.3228340344332
"ILMN_2918732",-5.63602110178456,9.21881843896788,-25.6333959952142,5.08061420578026e-09,6.76969725057891e-06,11.2794170208371
"ILMN_1229267",-4.92797882627655,8.63546177592527,-25.6162351030407,5.10784489191964e-09,6.76969725057891e-06,11.275070541084
"ILMN_2818498",-7.69598888743975,10.0889936594083,-25.0848189551207,6.0379485908146e-09,7.20178452863282e-06,11.138253384712
"ILMN_1214838",-4.32853407625047,8.4898982709991,-25.0665531255658,6.07313949864736e-09,7.20178452863282e-06,11.133473086373
"ILMN_2640097",-6.99554191215566,9.86326106812366,-24.8227569837142,6.56557028217367e-09,7.39644320138275e-06,11.0691657340499
"ILMN_1234014",-4.10862492012397,9.04416382817703,-24.6023185288965,7.04966472532865e-09,7.56361885363714e-06,11.0102017915558
"ILMN_1234480",-3.901011568521,8.65505709387215,-24.2515770833168,7.90476331922341e-09,8.09555556115557e-06,10.9147482872726
"ILMN_2806700",4.78268612682469,11.1203417701209,23.9201433795668,8.82106901558905e-09,8.39367765710452e-06,10.8226590015165
"ILMN_2647594",-4.25252674136789,9.20455499065563,-23.8796622356185,8.94093754251958e-09,8.39367765710452e-06,10.8112829509063
"ILMN_2640388",-5.41197751225285,9.19912426221611,-23.4278522054035,1.04105198734305e-08,8.94929752749998e-06,10.6823769093149
"ILMN_1221684",-5.11721319754691,11.3796492772012,-23.424510299882,1.04223552608542e-08,8.94929752749998e-06,10.6814099982032
"ILMN_3159131",-5.57100312445969,9.89232860345968,-23.3406410305349,1.07243812188762e-08,8.94929752749998e-06,10.6570786307064
"ILMN_1222609",-5.30505621202753,10.5269455197527,-22.8308142318409,1.27860124298434e-08,1.02886302163144e-05,10.5064159328968
"ILMN_3076439",-4.08502547649146,8.17032657154597,-22.3015964267204,1.5409092162159e-08,1.17561705073654e-05,10.3448576187067
"ILMN_2655184",-6.68304239073235,9.25204868078435,-22.2285780219143,1.58163099958911e-08,1.17561705073654e-05,10.3221407716518
"ILMN_1230224",4.54277741039248,8.81103148563505,22.1147893607001,1.64751977971698e-08,1.17561705073654e-05,10.286529775918
"ILMN_2875730",-7.12977528645122,10.9168913396482,-22.0776488375073,1.66968823503481e-08,1.17561705073654e-05,10.274850630438
"ILMN_2730463",4.65041623340365,10.2891632635664,21.8875411283597,1.78853247442342e-08,1.20332712945353e-05,10.214635891505
"ILMN_1247422",-5.3145433317833,8.95844767004198,-21.8458310567725,1.81585914524078e-08,1.20332712945353e-05,10.2013268064301
"ILMN_1215139",-6.41704526978017,9.55013664368201,-21.7030174024863,1.91303448406709e-08,1.22740501477002e-05,10.155487531726
"ILMN_2658355",-6.86307811427392,9.85264714184054,-21.6352927262046,1.9611460002539e-08,1.22740501477002e-05,10.133602897937
