"ID","Symbol","logFC","P.Value","adj.P.Val"
71562,"Afmid",-3.0022258168383,3.87223475796867e-31,5.65849665181962e-27
13087,"Cyp2a5",-5.79885413501162,9.41162924762087e-29,6.87660690977419e-25
16180,"Il1rap",-5.08031528646422,2.60625290919108e-24,1.26950579206698e-20
15493,"Hsd3b2",-4.32853407625047,3.80738079229102e-24,1.39093138794372e-20
67528,"Nudt7",-5.45472512764931,1.01759802799881e-22,2.97403199662932e-19
13649,"Egfr",-5.41794679304332,1.96095076410573e-20,4.77589558597952e-17
107747,"Aldh1l1",-5.06978227049732,4.87365183265631e-20,1.01740963186581e-16
13909,"Ces3b",-7.31144815326519,9.03918497636607e-20,1.65112012574547e-16
17841,"Mup2",-7.9717078411987,3.8639429276274e-19,6.27375533349103e-16
18631,"Pex11a",-3.08635648701327,2.43639022233104e-18,3.56029703189235e-15
13009,"Csrp3",-4.54768861229855,2.86799543772341e-18,3.81000157558656e-15
16000,"Igf1",-4.36647522036592,4.49506530741408e-17,5.4738657781035e-14
107141,"Cyp2c50",-7.51663434495822,6.43020307688225e-17,7.22804288942156e-14
52815,"Ldhd",-3.20706191523764,1.32430485399483e-16,1.38229048795903e-13
107995,"Cdc20",5.03098838607358,2.3348033863235e-16,2.27456545895636e-13
76654,"Upp2",-5.52766717079006,4.38186696620649e-16,4.00201387357346e-13
13077,"Cyp1a2",-6.6942990553131,1.20829047679961e-15,1.03863227867487e-12
268782,"Agxt2",-3.07512723462606,1.56326098997519e-15,1.26910738036152e-12
140486,"Igf2bp1",3.35406227157243,1.79812249631363e-15,1.38294547571743e-12
21743,"Inmt",-6.97594701092293,1.0733428585632e-14,7.842379596092e-12
13096,"Cyp2c37",-7.2978620992631,1.23343684477577e-14,8.58295838700397e-12
20511,"Slc1a2",-4.08502547649146,2.20150105621203e-14,1.46229704247393e-11
394430,"Ugt1a10",-4.65592654016874,3.07240554674293e-14,1.95204618498063e-11
26365,"Ceacam1",-3.66551134995422,3.90170650482823e-14,2.37565154812729e-11
