"ID","Symbol","logFC","P.Value","adj.P.Val"
229600,"BC028528",-3.95340873390519,1.5181177720466e-17,1.88808307309435e-13
18295,"Ogn",-4.8253188086696,2.77305369243882e-15,1.43069335747862e-11
212503,"Paox",2.66514423553234,3.45105738718007e-15,1.43069335747862e-11
13087,"Cyp2a5",-4.37633360021106,7.18386375995388e-15,2.23364283956366e-11
81877,"Tnxb",-2.77422540964124,2.68383981017577e-14,6.6757831438312e-11
100647,"Upk3b",-4.29318753652938,5.41165188863844e-14,1.05802830353176e-10
225341,"Lims2",-3.86739294693171,5.95497155642224e-14,1.05802830353176e-10
76477,"Pcolce2",-4.81603747710091,1.84465762894835e-13,2.62511200573825e-10
353156,"Egfl7",-3.61770488631156,1.89965490485199e-13,2.62511200573825e-10
18613,"Pecam1",-3.91338971481315,5.43265971606654e-13,6.75659888887196e-10
11464,"Actc1",-4.28292500560677,7.26080055323265e-13,8.20932513459587e-10
73721,"1110017D15Rik",-4.81227007208846,1.14645160032923e-12,1.18820154610789e-09
16008,"Igfbp2",-4.57004645223684,2.44701114493941e-12,2.34103673920088e-09
104110,"Adcy4",-3.1186177789848,2.99961540467704e-12,2.66472977056917e-09
21386,"Tbx3",-4.18531232562553,3.42309105679772e-12,2.83819889822622e-09
76722,"Ckmt2",-2.83398182379938,5.28489685607779e-12,4.10801638743997e-09
53901,"Rcan2",-2.86142905791498,9.85207313711541e-12,7.20766080037084e-09
13009,"Csrp3",-3.70655974020845,1.52832566944232e-11,1.055988130603e-08
12398,"Cbfa2t3",-2.92329783478124,2.20502295801463e-11,1.3711935264414e-08
235281,"Scn3b",-2.32456424974384,2.156525327374e-11,1.3711935264414e-08
20315,"Cxcl12",-3.99471608347144,2.54857413629916e-11,1.50936269205489e-08
20680,"Sox7",-3.55976938681756,4.26704684077744e-11,2.41223916176132e-08
20356,"Sema5a",-3.09360630998563,6.34326752387021e-11,3.43005296497277e-08
15483,"Hsd11b1",-3.43904400473084,8.43980386644132e-11,4.0371477187281e-08
19153,"Prx",-2.33011919223728,8.38190827275209e-11,4.0371477187281e-08
108075,"Ltbp4",-3.13572937464926,7.88114528893507e-11,4.0371477187281e-08
11536,"Gpr182",-3.34623789785568,1.64359326688852e-10,7.57087757788613e-08
20742,"Sptbn1",-2.05913317279049,3.59171041066239e-10,1.55454212970343e-07
242553,"Kank4",-1.97780723659943,3.62480676701773e-10,1.55454212970343e-07
60596,"Gucy1a1",-3.40829976005953,6.48064009048945e-10,2.53622461584031e-07
78465,"Ccdc190",-2.31145445769902,6.20061255629759e-10,2.53622461584031e-07
243653,"Clec1a",-2.71684699298636,6.52562416232934e-10,2.53622461584031e-07
16362,"Irf1",-1.80184030812331,7.59918505014921e-10,2.86397165056684e-07
11826,"Aqp1",-3.42841725737773,8.88200602227012e-10,3.15615739711353e-07
