"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1224014",-5.65058346554805,9.4634772869394,-41.7007569294302,4.01476167980856e-10,4.70400768466402e-06,13.3453633424086
"ILMN_3159131",-4.7827592809624,8.77806406213363,-40.0438361354868,5.42843192506378e-10,4.70400768466402e-06,13.142117710485
"ILMN_2913989",-4.52867302923676,9.27522242881979,-36.7244916723098,1.03308535557885e-09,5.96813409917904e-06,12.6867149144872
"ILMN_2975345",-4.36531114058558,8.85076768278764,-30.5294524178189,4.07342201460671e-09,1.33592536775964e-05,11.6219993740873
"ILMN_2930897",-5.04655538899797,9.17331178162162,-30.2423196150922,4.36914768146651e-09,1.33592536775964e-05,11.5644024009993
"ILMN_2887630",-3.23810361114417,8.36881477526492,-29.3337860077007,5.47792579974477e-09,1.33592536775964e-05,11.3765462582441
"ILMN_2734598",-3.46343189708271,8.52936012118926,-28.5217775163356,6.74480348005919e-09,1.33592536775964e-05,11.2011036110826
"ILMN_2756486",-3.18286260911007,13.5155485356639,-28.3174440500835,7.11384360550132e-09,1.33592536775964e-05,11.1557844237229
"ILMN_1247220",-4.37163831606796,8.77135649164814,-28.0438876026195,7.6442564241903e-09,1.33592536775964e-05,11.094353293189
"ILMN_2984110",-3.89555939971622,10.6890603313776,-27.0453747168248,9.99838989745356e-09,1.33592536775964e-05,10.862491646032
"ILMN_2669714",-4.17028875056996,10.0755591007736,-26.8085558525847,1.06709513913859e-08,1.33592536775964e-05,10.8056801266258
"ILMN_2649199",-5.18330284730348,9.0897277304281,-26.5167903543822,1.15711130081032e-08,1.33592536775964e-05,10.7346924067372
"ILMN_1237518",-3.35932748848542,8.47758783099117,-26.4171660868731,1.18979394152225e-08,1.33592536775964e-05,10.7101981082991
"ILMN_1220170",-4.29944964449963,9.44941646376165,-25.9906781771607,1.34204751150191e-08,1.33592536775964e-05,10.6038404877446
"ILMN_1229267",-3.24444577723039,7.90530122185832,-25.9484647411266,1.35828158495147e-08,1.33592536775964e-05,10.59317933932
"ILMN_1235390",-3.25464129792129,8.08207074578069,-25.8128393460954,1.41196392016649e-08,1.33592536775964e-05,10.5587609694987
"ILMN_1236788",-3.83714764055648,8.703237593038,-25.5813490786104,1.50923678388314e-08,1.33592536775964e-05,10.4994247161197
"ILMN_3094506",-3.44745123066162,9.43792970596872,-25.4663078434508,1.5603853403006e-08,1.33592536775964e-05,10.4696570727585
"ILMN_2645321",-3.28126710521797,9.6691097666409,-25.3890608722268,1.59583160389406e-08,1.33592536775964e-05,10.4495635337536
"ILMN_1243107",-3.97808647246657,10.9698717971453,-25.3815125404044,1.5993439358198e-08,1.33592536775964e-05,10.4475954918658
"ILMN_1228535",-4.82284718650742,10.3307754109724,-25.2383296764426,1.6676552495561e-08,1.33592536775964e-05,10.4101093078183
"ILMN_2700982",-4.01642081313224,10.1976566575172,-25.1812059879183,1.69582586640771e-08,1.33592536775964e-05,10.3950714814627
"ILMN_2649773",-4.07376257636379,8.52489096391644,-24.7098387954526,1.9500077672451e-08,1.46144061652685e-05,10.2691577770835
"ILMN_2930707",-3.24746145080876,8.24407752279778,-24.5859298214046,2.02380559671366e-08,1.46144061652685e-05,10.2355090131005
"ILMN_2816180",-3.33079594224488,9.8645164130298,-24.2821907447037,2.21846848450734e-08,1.53793109219987e-05,10.152035334398
"ILMN_2838501",-3.15050106547467,8.42376154814597,-23.9150959677835,2.48263670155257e-08,1.63608183494592e-05,10.0492343839596
"ILMN_2922560",-3.18860574459817,8.83962731450776,-23.8299910012201,2.54885520417401e-08,1.63608183494592e-05,10.025096379847
"ILMN_2618408",-4.68291547657889,9.99514699451856,-23.5884743676842,2.74793292920326e-08,1.70087234271506e-05,9.95595882463629
"ILMN_2955940",-5.05761220885684,10.6366101079488,-23.4004902069398,2.91510708212039e-08,1.74212830483547e-05,9.90148479064108
"ILMN_1248328",-2.89675574190556,8.39256135437104,-23.1875191823126,3.11857478757144e-08,1.74370936349862e-05,9.83905917072825
"ILMN_2656422",-3.85920163979409,10.2772376461008,-23.1871139216445,3.11897699316007e-08,1.74370936349862e-05,9.83893965400798
"ILMN_2740217",-3.08034779531273,9.01363312632919,-22.6072977839003,3.75956706226895e-08,1.91083369795516e-05,9.66505301965002
