"ID","Symbol","logFC","P.Value","adj.P.Val"
13087,"Cyp2a5",-4.7827592809624,7.37500542766959e-24,9.17229425039267e-20
11826,"Aqp1",-3.36979657125824,4.18826827669462e-20,2.60447462786255e-16
229600,"BC028528",-3.85920163979409,7.81319449135115e-19,3.23908999629781e-15
225341,"Lims2",-4.21309946723031,2.35709727696548e-18,7.32880470840492e-15
73721,"1110017D15Rik",-5.31435849307075,5.49135506174372e-18,1.36591965805813e-14
320718,"Slc26a9",2.2513350688534,1.3444052040777e-16,2.78672792051905e-13
58187,"Cldn10",-3.43892141352453,2.31461903676201e-16,4.1124167086013e-13
81877,"Tnxb",-2.38199901357246,3.41224376127495e-16,5.30475945737207e-13
15483,"Hsd11b1",-3.46765330925745,9.36654887044331e-16,1.29435298113004e-12
104110,"Adcy4",-2.92428518491999,1.82184622015848e-15,2.2658301440111e-12
16008,"Igfbp2",-5.04655538899797,2.52274764587571e-15,2.85231022470511e-12
13855,"Epn2",-1.80917849793067,3.07948511507804e-15,3.1916296980188e-12
21386,"Tbx3",-4.37163831606796,7.46305828450479e-15,7.13985045264509e-12
18295,"Ogn",-4.8411250747634,9.02958194476874e-15,8.02149361764921e-12
74665,"Drc3",-2.70887075187814,2.51743517539676e-14,2.0872894184273e-11
212503,"Paox",2.27094427748915,3.35366816617674e-14,2.60684818642125e-11
20315,"Cxcl12",-4.00151286505135,5.68766565483044e-14,4.16102927936037e-11
13009,"Csrp3",-3.71885317778309,6.13737194072094e-14,4.24058304593035e-11
18858,"Pmp22",-4.82284718650742,7.1347445016156e-14,4.67025354561017e-11
18613,"Pecam1",-4.01642081313224,1.57691403391095e-13,9.80603991987522e-11
20680,"Sox7",-3.42954646413548,1.75885261532018e-13,1.04165952270177e-10
214572,"Prmt7",1.47409778111595,2.17996219728045e-13,1.17879086293813e-10
245688,"Rbbp7",1.79426054296395,2.11522686822556e-13,1.17879086293813e-10
105348,"Golm1",2.97816285866583,2.59636117290964e-13,1.34545599614488e-10
23945,"Mgll",-2.26268642229947,3.03633663146311e-13,1.45241994944257e-10
81600,"Chia1",-5.05761220885684,2.95146109443447e-13,1.45241994944257e-10
19012,"Plpp1",-2.91465619129926,3.26586069301734e-13,1.50435220144654e-10
380683,"Sec14l3",-5.17461176472349,4.54399853990964e-13,2.01834678003058e-10
66175,"Mustn1",-2.80269034777538,4.79664807923266e-13,2.05710041935919e-10
76477,"Pcolce2",-4.58023272782119,5.4003874199859e-13,2.23882061141215e-10
26364,"Adgre5",-3.43713069623954,5.73895415201993e-13,2.30243138027974e-10
108116,"Slco3a1",-2.30447227173038,6.47517373440135e-13,2.51661674171093e-10
60596,"Gucy1a1",-3.26408868755689,1.2553713682999e-12,4.73122839622603e-10
66912,"Bzw2",2.36419720012573,1.37561637052517e-12,5.03192376477104e-10
213019,"Pdlim2",-1.61227352546443,2.27080721554091e-12,8.06915123990924e-10
11768,"Ap1m2",1.5003636029725,2.58525723000963e-12,8.79005600851706e-10
16362,"Irf1",-1.69985781822614,2.61503636178444e-12,8.79005600851706e-10
11536,"Gpr182",-3.5040469250508,3.61448553179792e-12,1.15265016817874e-09
55949,"Eef1b2",2.1238751482378,3.5491959198691e-12,1.15265016817874e-09
23825,"Banf1",1.66784893854646,4.27802168649727e-12,1.33014389287416e-09
56412,"Noa1",1.90593900064573,4.68576344612939e-12,1.38449628686888e-09
77889,"Lbh",-3.33079594224488,4.78679266184465e-12,1.38449628686888e-09
83921,"Cemip2",-2.17411378354327,4.56547841780368e-12,1.38449628686888e-09
14262,"Fmo3",-4.02026868950331,7.03032972644391e-12,1.98718660926779e-09
66395,"Ahnak",-2.96709361482937,7.20329261326063e-12,1.99083000513605e-09
14613,"Gja5",-2.92517043246404,8.29339467106129e-12,2.24228151139107e-09
76722,"Ckmt2",-2.75403134655008,9.04908374075259e-12,2.39454158476042e-09
328424,"Kcnrg",-3.3666869222597,1.03563697553423e-11,2.68337855514985e-09
104086,"Cyp27a1",-1.55467007243163,1.47864611940656e-11,3.75304526266519e-09
245945,"Rbm47",1.35701309496624,1.66075694707734e-11,4.13096683016017e-09
235281,"Scn3b",-2.36926492833136,1.91040027534216e-11,4.65875455380989e-09
353156,"Egfl7",-3.29874337209338,2.614241710649e-11,6.2525623375657e-09
80914,"Uck2",2.141449538151,2.73337942121088e-11,6.41415846445279e-09
16826,"Ldb2",-3.29970634974952,2.86471995224977e-11,6.59787445298712e-09
15959,"Ifit3",-3.70934140762496,3.08201115126612e-11,6.96926776150849e-09
21991,"Tpi1",1.78254529680783,3.9204500141012e-11,8.70689943310296e-09
20671,"Sox17",-2.56879003873932,4.11948476610719e-11,8.98842667299563e-09
18150,"Npm3",2.24300092397629,4.58999130549951e-11,9.84236583905127e-09
12505,"Cd44",2.04474882287551,4.97609695333445e-11,1.04894436963764e-08
20810,"Srm",3.02064088923551,5.52755266960931e-11,1.14576954253218e-08
59028,"Rcl1",2.0581872596391,5.64715129345873e-11,1.15137083011059e-08
19153,"Prx",-2.48702555783326,5.96008640904558e-11,1.19557410756935e-08
22247,"Umps",1.87440749887759,7.08281132866352e-11,1.39823689673949e-08
67689,"Aldh3b1",-2.39338592333878,7.39556958720709e-11,1.43716717118898e-08
64082,"Popdc2",-2.21685384023289,7.62638318341378e-11,1.45922042541719e-08
74776,"Ppa2",1.27921969342499,7.80698456006426e-11,1.47114343899271e-08
11522,"Adh1",-2.83246488019979,8.15938564180154e-11,1.51460118249382e-08
11464,"Actc1",-4.17801849332239,8.66908670293987e-11,1.58555046065387e-08
242553,"Kank4",-1.9750295050019,8.87143288875147e-11,1.59904363532467e-08
78465,"Ccdc190",-2.21446475737371,1.06800303239709e-10,1.89753624484608e-08
14375,"Xrcc6",1.55315782375025,1.20911581241195e-10,2.11799624774188e-08
18458,"Pabpc1",1.53401859327908,1.25162346864516e-10,2.16200570549165e-08
16593,"Klc1",-1.74177557902502,1.30426954047142e-10,2.192054091195e-08
18127,"Nos3",-1.27208629021344,1.29096613530544e-10,2.192054091195e-08
21689,"Tekt1",-3.34448038893948,1.39665514349988e-10,2.3160266692944e-08
17762,"Mapt",-3.23097970490048,1.68824266576771e-10,2.76272026765171e-08
17189,"Mb",-3.23239821213508,1.83199190107207e-10,2.95766218668433e-08
108075,"Ltbp4",-2.83759596357381,1.85493005195286e-10,2.95766218668433e-08
72462,"Rrp1b",1.89347435906562,2.01998355581374e-10,3.18006778274121e-08
15439,"Hp",-2.81694526564607,2.20818710905289e-10,3.4036622057679e-08
24099,"Tnfsf13b",-2.06288862708524,2.21674550669132e-10,3.4036622057679e-08
72947,"Phykpl",1.34190750213419,2.40746525824705e-10,3.65142017278275e-08
24110,"Usp18",-3.00672145832092,2.80201245218954e-10,4.19862998408209e-08
17349,"Mlf1",-3.49061433780039,3.16928238844376e-10,4.69242441250893e-08
21804,"Tgfb1i1",-1.61712892637371,3.29329965909412e-10,4.81867857178277e-08
14199,"Fhl1",-3.0956716028753,3.93084586706324e-10,5.68464302891459e-08
67888,"Tmem100",-5.65058346554805,4.01476167980856e-10,5.73926333468726e-08
16644,"Kng1",5.76424920061457,4.38334137482059e-10,6.19495644075496e-08
