"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2767216",-4.01734712824347,8.157641054452,-33.8017718608504,6.07581413405532e-11,7.88780016587251e-07,14.8465057475072
"ILMN_2933357",-3.93570212062796,8.35382006377801,-32.3337145970406,9.10253322471007e-11,7.88780016587251e-07,14.5693006832104
"ILMN_2689426",-3.87704228947956,8.19249155842952,-28.6707862590167,2.71567376895802e-10,8.18644837725869e-07,13.7744023019865
"ILMN_2789650",-3.98237840445289,8.25892769385597,-28.4528649105129,2.91049487607228e-10,8.18644837725869e-07,13.7218658787718
"ILMN_1229267",-3.09489157647092,7.85762823300888,-27.9857894544938,3.38240389539184e-10,8.18644837725869e-07,13.6070704582941
"ILMN_2610744",-5.80092212415088,10.2298795330408,-27.9548262526595,3.41656100827609e-10,8.18644837725869e-07,13.5993529573139
"ILMN_2806549",6.78331660439595,12.1611146484533,27.642342696806,3.78351005617245e-10,8.18644837725869e-07,13.5207041788567
"ILMN_2503052",-3.7371981170812,8.49890148539058,-27.5088915262941,3.95335576338844e-10,8.18644837725869e-07,13.4866879270092
"ILMN_2918875",-4.24514561850578,8.38313596820428,-27.2895101097863,4.25122816890706e-10,8.18644837725869e-07,13.4302025730357
"ILMN_2734598",-3.55568564318227,8.29853925982849,-26.8441295101662,4.93552218113208e-10,8.55375349212001e-07,13.313321214585
"ILMN_2598916",-4.32249375460977,8.31544759097552,-26.3841461772898,5.77284038453046e-10,9.0953724276634e-07,13.1894165259695
"ILMN_2768252",-4.67065252256206,8.42481183106949,-23.6895407195172,1.53079447330478e-09,2.21084991807043e-06,12.3921768844352
"ILMN_2954987",-3.6548794224786,8.41076776489702,-23.0636334829496,1.94979697201646e-09,2.48498414847806e-06,12.1877441581211
"ILMN_2588815",-2.87916985128966,7.89198093397218,-22.8935967792829,2.08454611645911e-09,2.48498414847806e-06,12.1308342722042
"ILMN_3159131",-4.51158528839172,8.7440093291621,-22.8144525135802,2.15075657649131e-09,2.48498414847806e-06,12.1041405088613
"ILMN_2727520",-2.57674082226842,7.70155700252803,-21.1818332415967,4.20125370672517e-09,4.55074549945337e-06,11.5228982858258
"ILMN_2835423",-4.61833485168182,8.41795939178374,-20.4668488991071,5.72263307033388e-09,5.58590665283683e-06,11.2486677601691
"ILMN_1222734",-4.64411737485818,10.6770411183525,-20.4115817813163,5.86350953747555e-09,5.58590665283683e-06,11.2269356413676
"ILMN_1234857",-2.83133386353328,7.73269820599041,-20.3132168990579,6.12383742449367e-09,5.58590665283683e-06,11.1880619847899
"ILMN_2797061",-2.12710300025416,7.68855463607945,-19.6865139688087,8.11563507655781e-09,6.79036465983663e-06,10.9343987994414
"ILMN_2742068",-3.05408549554782,7.97518194426805,-19.6564198957283,8.22789555458827e-09,6.79036465983663e-06,10.9219514029557
"ILMN_2679386",-2.76144272945767,8.03602399566947,-19.2203326271859,1.00632954159556e-08,7.92758967517852e-06,10.7387445943887
"ILMN_2698052",-2.77253306057326,8.04171917547402,-18.2524606461611,1.59884866646102e-08,1.2009818623588e-05,10.3123185256367
"ILMN_2817864",-2.52497510913588,7.74810056848029,-18.141213603131,1.68875061395705e-08,1.2009818623588e-05,10.2614701653346
"ILMN_2634905",3.7884606618509,11.7853519065111,18.0005906413521,1.81049048515174e-08,1.2009818623588e-05,10.1966320402191
"ILMN_2943135",-4.08945444224462,8.25881450040806,-17.9859915924541,1.82367546720795e-08,1.2009818623588e-05,10.189864428111
"ILMN_2658130",2.30039779443995,10.5233071242837,17.9345241223172,1.87101207568448e-08,1.2009818623588e-05,10.1659510398621
"ILMN_2723576",-3.00195959519874,8.49301916358902,-17.7434913636322,2.05897593355791e-08,1.27443256801758e-05,10.0764376243996
"ILMN_2731963",-3.41249180354881,8.01243802693194,-17.5267468567312,2.29794098963661e-08,1.37329707901352e-05,9.97341663724637
