"ID","Symbol","logFC","P.Value","adj.P.Val"
13087,"Cyp2a5",-4.51158528839172,2.71402201911572e-27,3.37542918517423e-23
13009,"Csrp3",-3.98237840445289,2.41715611997147e-22,1.50310853320426e-18
11464,"Actc1",-4.32249375460977,1.60630949530666e-18,6.65922373104299e-15
17829,"Muc1",1.95907993300027,2.93584262935378e-18,9.12826869531824e-15
58187,"Cldn10",-3.6786742098505,8.88349534102829e-17,2.20968063112738e-13
74665,"Drc3",-2.88388839196499,1.46782775767602e-16,3.04256230370278e-13
73721,"1110017D15Rik",-4.49784773297226,1.88496819879965e-16,3.34904992692446e-13
13032,"Ctsc",1.66248546332264,3.92651159202651e-16,6.10425308375421e-13
18295,"Ogn",-4.09322659290911,6.27898413437421e-15,8.67685840880135e-12
54608,"Abhd2",1.53798989634515,8.04431179597183e-15,1.00047105806502e-11
76722,"Ckmt2",-2.77253306057326,9.94919276384135e-15,1.12489191276268e-11
14262,"Fmo3",-4.08945444224462,1.52577025270743e-14,1.5813337194102e-11
17189,"Mb",-3.6548794224786,2.01671879479391e-14,1.92937935775784e-11
225341,"Lims2",-3.25201491653492,2.80727826255662e-14,2.49386569652977e-11
50790,"Acsl4",1.64498766051272,3.03147031392469e-14,2.51349308628542e-11
11826,"Aqp1",-2.90236645120598,3.5704554480746e-14,2.77535965048149e-11
380683,"Sec14l3",-3.65418649064309,5.60712118174228e-14,4.1021038904311e-11
13855,"Epn2",-1.48345627426314,6.18463549421934e-14,4.27323953564477e-11
26364,"Adgre5",-3.01788192794049,6.82234125911839e-14,4.46576095998186e-11
15483,"Hsd11b1",-2.23334390118142,1.28863252886819e-13,8.01336138076686e-11
320718,"Slc26a9",2.19428555172224,2.6159784555625e-13,1.54928209770623e-10
16541,"Napsa",2.14944425098144,2.81858649623148e-13,1.59339819334686e-10
104681,"Slc16a6",2.21398903374279,3.35578065284433e-13,1.81460191214891e-10
11938,"Atp2a2",-1.66916518719233,6.76615136463393e-13,3.50627602174801e-10
12505,"Cd44",1.37632272616251,7.82649007311872e-13,3.8935222815751e-10
17349,"Mlf1",-3.18943973686552,9.1989451436256e-13,4.40028002889506e-10
11565,"Adssl1",2.27134933678827,1.09334056024796e-12,4.93535432056635e-10
66175,"Mustn1",-2.21566922580691,1.11111940963141e-12,4.93535432056635e-10
11596,"Ager",-1.7130361244109,1.19674803311571e-12,5.13239837512416e-10
328424,"Kcnrg",-3.09415849604961,1.38038587465652e-12,5.72261970770105e-10
19224,"Ptgs1",1.4704164842715,1.86142811357798e-12,7.23455670267792e-10
21689,"Tekt1",-3.00861687955575,1.81566193132476e-12,7.23455670267792e-10
100647,"Upk3b",-3.67098511888687,3.17603348876976e-12,1.19697965150999e-09
71242,"Spata24",-1.30338151182709,3.460196024416e-12,1.26571935163711e-09
108075,"Ltbp4",-2.98440702426669,3.9177551387802e-12,1.39214630460027e-09
83921,"Cemip2",-1.56386288240737,4.67678325940424e-12,1.61569870547807e-09
104086,"Cyp27a1",-1.59508521077823,5.12300087586757e-12,1.72202059170716e-09
78465,"Ccdc190",-2.24743594521543,5.91131138896361e-12,1.93470999327738e-09
11768,"Ap1m2",1.10112487904956,7.43776617522408e-12,2.37188456208364e-09
11475,"Acta2",-1.96748758795713,1.38425138198214e-11,4.04258826176308e-09
16008,"Igfbp2",-3.92453295193908,1.39755973807398e-11,4.04258826176308e-09
17153,"Mal",2.41519549629145,1.39769474355401e-11,4.04258826176308e-09
104110,"Adcy4",-2.23269670537365,1.32045963410149e-11,4.04258826176308e-09
17888,"Myh6",-2.09703263927764,1.55377534900034e-11,4.29428978122606e-09
73301,"Ttc29",-3.23160943339855,1.54281859601275e-11,4.29428978122606e-09
50525,"Spag6l",-3.65323209984538,2.40417627793727e-11,6.50016094971867e-09
81877,"Tnxb",-1.74784129488798,2.97934250023953e-11,7.8838473777615e-09
626834,"Klk13",1.70247323582629,4.60253303477488e-11,1.19253548653115e-08
70510,"Rnf167",-0.956731860753701,5.50592627208234e-11,1.39749398052833e-08
228765,"Sdcbp2",2.94472212674823,6.0235421826596e-11,1.49829588251475e-08
21393,"Tcap",-3.93570212062796,9.10253322471007e-11,2.21976873952391e-08
71827,"Lrrc34",-2.01215946222551,9.40076575341126e-11,2.24841007067646e-08
64082,"Popdc2",-1.92043661335229,1.00377592548908e-10,2.35546437458635e-08
14199,"Fhl1",-2.69089220323399,1.02805455029305e-10,2.36776193370271e-08
14961,"H2-Ab1",1.19243372655794,1.05821981682144e-10,2.39292361123785e-08
11536,"Gpr182",-2.67266629611528,1.18541659383556e-10,2.63268324598801e-08
68922,"Dnaic1",-2.33916701010481,1.28047007526736e-10,2.67106125000417e-08
