"","Symbol","pval","padj","median_pearson"
"ENSG00000163811","WDR43",1.02606569225349e-39,1.11188582675358e-35,0.493997134940527
"ENSG00000165732","DDX21",2.64452368941779e-45,9.16554256211314e-41,0.493947580194306
"ENSG00000107815","C10orf2",1.28462019714502e-35,4.97166368012227e-32,0.481494825493728
"ENSG00000087269","NOP14",1.82410338938692e-40,2.47083924609405e-36,0.478601201035358
"ENSG00000166197","NOLC1",3.38324261271756e-45,9.16554256211314e-41,0.473348498403773
"ENSG00000141384","TAF4B",8.45375363207336e-31,1.3471802332147e-27,0.473249979341875
"ENSG00000065183","WDR3",4.85865842789639e-37,3.29064788675353e-33,0.466826260461814
"ENSG00000112578","BYSL",1.1060249023229e-36,5.44787647796902e-33,0.458689422422894
"ENSG00000155438","NIFK",1.11197021452323e-31,2.07754379873439e-28,0.456636629324506
"ENSG00000141101","NOB1",3.64178445808995e-32,8.35187741246607e-29,0.452614087081183
"ENSG00000196497","IPO4",4.55944523058377e-36,2.05866551236241e-32,0.452255391294473
"ENSG00000136261","BZW2",1.26395405607673e-25,6.84835586663496e-23,0.451128485772748
"ENSG00000107937","GTPBP4",1.7054465896305e-34,5.13358372885331e-31,0.448894288504406
"ENSG00000249859",NA,8.45773764769871e-39,6.54653058896588e-35,0.447643606517857
"ENSG00000070756","PABPC1",4.70077066856834e-35,1.69798104242913e-31,0.447347109177361
"ENSG00000125630","POLR1B",7.1777312839955e-33,1.94451918214722e-29,0.44717079628201
"ENSG00000124784","RIOK1",1.22316003482924e-30,1.79116910830049e-27,0.446934330843819
"ENSG00000148840","PPRC1",7.24035617838755e-37,4.35885531619327e-33,0.445911391201298
"ENSG00000159131","GART",1.30719131834636e-34,4.27000527979037e-31,0.440391489678378
"ENSG00000147677","EIF3H",1.05218189412374e-30,1.62883769678322e-27,0.437849485593837
"ENSG00000148843","PDCD11",1.33974548293596e-34,4.27000527979037e-31,0.437542880743789
"ENSG00000115053","NCL",4.94633805086591e-39,4.46670813786694e-35,0.43753635499433
"ENSG00000104408","EIF3E",4.760680084508e-29,5.26414629262883e-26,0.436758156139769
"ENSG00000163938","GNL3",5.52935606083792e-36,2.30455053914092e-32,0.43469375363478
"ENSG00000164163","ABCE1",4.24058884271905e-42,7.65878615587345e-38,0.434162588284177
"ENSG00000117877","CD3EAP",1.79689199617125e-30,2.56208426675133e-27,0.432547965587726
"ENSG00000091527","CDV3",4.18314676989328e-32,8.71735608793684e-29,0.42808822471224
"ENSG00000161960","EIF4A1",3.82703678960944e-32,8.35187741246607e-29,0.427213633173781
"ENSG00000179041","RRS1",1.1681269279237e-27,9.7371466475018e-25,0.426567279084149
"ENSG00000145220","LYAR",3.85362178051109e-32,8.35187741246607e-29,0.425334957306479
"ENSG00000173145","NOC3L",1.88747234996453e-29,2.32425061058587e-26,0.418416407036086
"ENSG00000132341","RAN",3.7147666472814e-28,3.35455810805001e-25,0.418412013878069
"ENSG00000138442","WDR12",1.08700268526591e-36,5.44787647796902e-33,0.417162041554298
"ENSG00000110104","CCDC86",3.50783389599351e-27,2.60358159113315e-24,0.416846317158564
"ENSG00000100462","PRMT5",8.06535635666155e-24,2.85619044520677e-21,0.416112716245488
"ENSG00000091127","PUS7",5.62395029118302e-27,3.95736200879063e-24,0.414878804504106
"ENSG00000130826","DKC1",5.53082362768409e-31,9.36472143109935e-28,0.414807436633046
"ENSG00000065978","YBX1",5.48946687724188e-32,1.10159368275081e-28,0.413506342269416
"ENSG00000080608","KIAA0020",4.45803390265465e-29,5.03219151903405e-26,0.413027527456412
"ENSG00000120254","MTHFD1L",1.13365193835226e-25,6.20439690139416e-23,0.411191941559572
"ENSG00000167721","TSR1",5.33297855713578e-31,9.32101432847518e-28,0.409325361209946
"ENSG00000073536","NLE1",2.69452942679427e-27,2.05626751271221e-24,0.407271589402931
"ENSG00000261236",NA,1.03845221297122e-28,1.08202726544628e-25,0.40579878002605
"ENSG00000143179","UCK2",4.15346032304668e-29,4.78814440900671e-26,0.40413502150507
"ENSG00000067082","KLF6",9.16227600694803e-28,7.87984823188029e-25,0.40268946106079
"ENSG00000213553",NA,1.18198134231949e-30,1.77894758582096e-27,0.401288068702073
"ENSG00000064102","ASUN",3.58526789609802e-28,3.3492583645928e-25,0.400247850745586
"ENSG00000149136","SSRP1",2.94982218306634e-32,7.61082216775716e-29,0.400114433117087
"ENSG00000165526","RPUSD4",1.23327252131385e-24,5.30326759919263e-22,0.400104008863182
"ENSG00000144381","HSPD1",3.78013629314485e-28,3.35762860057663e-25,0.39907996026185
"ENSG00000164933","SLC25A32",2.72756950053331e-25,1.31951045248121e-22,0.398983078221673
"ENSG00000171490","RSL1D1",3.5947232980979e-29,4.32820661638979e-26,0.398868817972907
"ENSG00000213866",NA,4.19660225912667e-31,7.57934345346671e-28,0.394902524543427
"ENSG00000147604","RPL7",3.36889710788461e-26,2.09808716206212e-23,0.39474273750772
"ENSG00000132382","MYBBP1A",5.25876150671597e-26,3.05027796040435e-23,0.394542620146674
"ENSG00000196305","IARS",7.43347007691701e-29,7.89726030799054e-26,0.39381423612781
"ENSG00000180957","PITPNB",3.68921225496465e-28,3.35455810805001e-25,0.39353370474903
"ENSG00000153310","FAM49B",1.03739000285532e-26,6.91526480788035e-24,0.392655929245956
"ENSG00000104131","EIF3J",1.83064042781489e-24,7.57158470686001e-22,0.392013532272649
"ENSG00000115946","PNO1",2.03139238968683e-28,1.96544468675021e-25,0.39145986618326
"ENSG00000128050","PAICS",4.47471254797269e-22,1.11727592292284e-19,0.391392243335523
"ENSG00000179409","GEMIN4",1.16614961298672e-22,3.25692362530136e-20,0.391203589617883
"ENSG00000104356","POP1",3.75228469764672e-22,9.58991931546672e-20,0.389138638089295
"ENSG00000082516","GEMIN5",7.16430342300644e-24,2.64065502085262e-21,0.388438828603661
"ENSG00000090621","PABPC4",7.8038279049559e-21,1.54672633662036e-18,0.388275318635545
"ENSG00000107581","EIF3A",2.19139619618971e-30,3.04446740261412e-27,0.387995311364524
"ENSG00000234851",NA,8.63838899218707e-27,5.92462268828709e-24,0.386550158694515
"ENSG00000110880","CORO1C",2.42300795217028e-19,3.51966265052252e-17,0.386501978916894
"ENSG00000048162","NOP16",1.62902693768082e-22,4.48040292068133e-20,0.386185324116259
"ENSG00000233476",NA,5.90292500328257e-30,7.9958070631964e-27,0.386114721522958
"ENSG00000164961","KIAA0196",1.98380446142618e-24,8.14291616128737e-22,0.385607788519655
"ENSG00000103342","GSPT1",1.79540378394288e-27,1.43056717384696e-24,0.385574483711936
"ENSG00000123908","AGO2",1.61261479634598e-27,1.30409992381519e-24,0.385261769998177
"ENSG00000142864","SERBP1",2.06510891414078e-26,1.3163733080703e-23,0.384966830071606
"ENSG00000145414","NAF1",4.25039481432628e-27,3.07059855773102e-24,0.384877942569091
"ENSG00000132603","NIP7",6.69466528084617e-25,3.02275295205673e-22,0.384260615590894
"ENSG00000196205",NA,3.20968804612551e-32,7.90487807796238e-29,0.384099921266723
"ENSG00000128059","PPAT",7.68546251913187e-24,2.7577068225934e-21,0.383851711057303
"ENSG00000120526","NUDCD1",8.68724475109353e-30,1.12069594072321e-26,0.383567910286627
"ENSG00000088205","DDX18",2.18797957681695e-27,1.69355870615851e-24,0.382142648527961
"ENSG00000281398",NA,5.60618590320273e-22,1.36826290363662e-19,0.381622391364827
"ENSG00000135316","SYNCRIP",1.3625244095282e-25,7.23767623108399e-23,0.380715743971075
"ENSG00000214485",NA,9.778152273093e-27,6.62249808075906e-24,0.380228800249214
"ENSG00000135763","URB2",6.82870259602617e-31,1.12119019411482e-27,0.379898822683313
"ENSG00000147649","MTDH",9.81906078062058e-32,1.90005839719852e-28,0.378902339274883
"ENSG00000162377","COA7",3.31493676127949e-24,1.27459656714819e-21,0.378513491110983
"ENSG00000160818","GPATCH4",8.703193839197e-23,2.49500766452578e-20,0.378421133022272
"ENSG00000119285","HEATR1",2.17103728723953e-34,6.19111275248484e-31,0.377494061953452
"ENSG00000137970",NA,3.59417559059767e-21,7.63684791567698e-19,0.376645887033345
"ENSG00000137574","TGS1",4.50953871486934e-26,2.6850090840555e-23,0.376525800380314
"ENSG00000166226","CCT2",4.64080820364201e-24,1.7461685422898e-21,0.375739635489081
"ENSG00000134001","EIF2S1",3.95769518210778e-22,1.00203663718207e-19,0.375048538561643
"ENSG00000247626","MARS2",1.18166579883098e-29,1.48895386772697e-26,0.375045208939459
"ENSG00000114942","EEF1B2",5.53672518536395e-22,1.35742463345425e-19,0.37496005403064
"ENSG00000126814","TRMT5",5.8257338818969e-22,1.4091513981649e-19,0.374543104559594
"ENSG00000108883","EFTUD2",1.88414713825436e-28,1.85612473172541e-25,0.373936436731802
"ENSG00000068654","POLR1A",3.7065890440921e-24,1.40440844466432e-21,0.373341021677501
"ENSG00000170881","RNF139",2.204501548443e-19,3.21952298915737e-17,0.372618569110884
"ENSG00000254772","EEF1G",1.23388794422225e-23,4.23129851859809e-21,0.372155621111521
"ENSG00000101361","NOP56",2.00749730221796e-23,6.39824816639843e-21,0.372037311701823
"ENSG00000160208","RRP1B",1.32274573807535e-23,4.50748487927036e-21,0.37171951292662
"ENSG00000153317","ASAP1",4.13587864511428e-21,8.65213037643173e-19,0.371445706076539
"ENSG00000184428","TOP1MT",3.50939855056103e-24,1.33905797370773e-21,0.3709283414037
"ENSG00000096063","SRPK1",2.85040507804787e-27,2.14500899914985e-24,0.370893326274558
"ENSG00000139514","SLC7A1",5.2620795661176e-26,3.05027796040435e-23,0.370675761404132
"ENSG00000136891","TEX10",7.29128327003084e-24,2.65138463179068e-21,0.370284777355657
"ENSG00000114686","MRPL3",1.03399652191094e-25,5.77567005671945e-23,0.370059369829492
"ENSG00000112306","RPS12",2.26596282449563e-21,5.03173761298453e-19,0.370056547665435
"ENSG00000244462","RBM12",7.75612594362482e-30,1.02498150214019e-26,0.369994126048936
"ENSG00000130713","EXOSC2",3.25710763626771e-22,8.55788839725673e-20,0.36967707797227
"ENSG00000249353",NA,3.31693396271629e-24,1.27459656714819e-21,0.36939727731143
"ENSG00000146223","RPL7L1",1.93261859229247e-25,9.87859816675383e-23,0.36937516835033
"ENSG00000224861",NA,3.59643002225631e-25,1.70931378478852e-22,0.369182762018701
"ENSG00000170027","YWHAG",1.07416823960805e-25,5.938835056984e-23,0.368885028180079
"ENSG00000196449","YRDC",1.03864429401076e-20,2.01705466444771e-18,0.368001139447723
"ENSG00000175792","RUVBL1",2.32289501636197e-24,9.25434542474442e-22,0.367894363342082
"ENSG00000109917","ZNF259",6.12206654928964e-23,1.81260005340771e-20,0.367648746362677
"ENSG00000205339","IPO7",5.84876079680755e-29,6.33795114985254e-26,0.367255776882945
"ENSG00000165733","BMS1",3.80579170596308e-26,2.31691467654485e-23,0.366282717682249
"ENSG00000150753","CCT5",3.78004653392817e-23,1.15062068146796e-20,0.365841960466813
"ENSG00000099783","HNRNPM",3.75917379540952e-29,4.42781640397562e-26,0.365841789523601
"ENSG00000141076","CIRH1A",5.62876111036098e-19,7.51176193304381e-17,0.364894688844188
"ENSG00000181163","NPM1",1.52372545227158e-27,1.25088624931786e-24,0.364254862321084
"ENSG00000063046","EIF4B",5.35287390493445e-22,1.32433522336602e-19,0.363716496291339
"ENSG00000100353","EIF3D",1.00544846788794e-27,8.51206388861005e-25,0.363507713301713
"ENSG00000197771","MCMBP",1.04656844384886e-26,6.91526480788035e-24,0.363455085667861
"ENSG00000090447","TFAP4",1.22388588085997e-18,1.52442723670701e-16,0.363154502929627
