"","Symbol"
"ENSG00000165732","DDX21"
"ENSG00000107815","C10orf2"
"ENSG00000087269","NOP14"
"ENSG00000166197","NOLC1"
"ENSG00000141384","TAF4B"
"ENSG00000065183","WDR3"
"ENSG00000112578","BYSL"
"ENSG00000196497","IPO4"
"ENSG00000107937","GTPBP4"
"ENSG00000249859",NA
"ENSG00000070756","PABPC1"
"ENSG00000124784","RIOK1"
"ENSG00000148840","PPRC1"
"ENSG00000147677","EIF3H"
"ENSG00000148843","PDCD11"
"ENSG00000104408","EIF3E"
"ENSG00000164163","ABCE1"
"ENSG00000091527","CDV3"
"ENSG00000179041","RRS1"
"ENSG00000145220","LYAR"
"ENSG00000173145","NOC3L"
"ENSG00000132341","RAN"
"ENSG00000138442","WDR12"
"ENSG00000110104","CCDC86"
"ENSG00000091127","PUS7"
"ENSG00000130826","DKC1"
"ENSG00000065978","YBX1"
"ENSG00000080608","KIAA0020"
"ENSG00000120254","MTHFD1L"
"ENSG00000167721","TSR1"
"ENSG00000073536","NLE1"
"ENSG00000261236",NA
"ENSG00000067082","KLF6"
"ENSG00000213553",NA
"ENSG00000064102","ASUN"
"ENSG00000149136","SSRP1"
"ENSG00000165526","RPUSD4"
"ENSG00000144381","HSPD1"
"ENSG00000164933","SLC25A32"
"ENSG00000213866",NA
"ENSG00000147604","RPL7"
"ENSG00000196305","IARS"
"ENSG00000180957","PITPNB"
"ENSG00000153310","FAM49B"
"ENSG00000104131","EIF3J"
"ENSG00000115946","PNO1"
"ENSG00000128050","PAICS"
"ENSG00000104356","POP1"
"ENSG00000107581","EIF3A"
"ENSG00000234851",NA
"ENSG00000110880","CORO1C"
"ENSG00000048162","NOP16"
"ENSG00000233476",NA
"ENSG00000164961","KIAA0196"
"ENSG00000103342","GSPT1"
"ENSG00000123908","AGO2"
"ENSG00000145414","NAF1"
"ENSG00000132603","NIP7"
"ENSG00000196205",NA
"ENSG00000128059","PPAT"
"ENSG00000120526","NUDCD1"
"ENSG00000088205","DDX18"
"ENSG00000281398",NA
"ENSG00000135316","SYNCRIP"
"ENSG00000214485",NA
"ENSG00000135763","URB2"
"ENSG00000147649","MTDH"
"ENSG00000162377","COA7"
