"","Symbol"
"ENSG00000185085","INTS5"
"ENSG00000147955","SIGMAR1"
"ENSG00000137168","PPIL1"
"ENSG00000173457","PPP1R14B"
"ENSG00000275700","AATF"
"ENSG00000108829","LRRC59"
"ENSG00000124228","DDX27"
"ENSG00000159399","HK2"
"ENSG00000113368","LMNB1"
"ENSG00000196419","XRCC6"
"ENSG00000116750","UCHL5"
"ENSG00000183684","ALYREF"
"ENSG00000137073","UBAP2"
"ENSG00000125450","NUP85"
"ENSG00000010292","NCAPD2"
"ENSG00000154743","TSEN2"
"ENSG00000020256","ZFP64"
"ENSG00000115317","HTRA2"
"ENSG00000167325","RRM1"
"ENSG00000135446","CDK4"
"ENSG00000106305","AIMP2"
"ENSG00000188976","NOC2L"
"ENSG00000106628","POLD2"
"ENSG00000149503","INCENP"
"ENSG00000126457","PRMT1"
"ENSG00000173638","SLC19A1"
"ENSG00000166508","MCM7"
"ENSG00000138363","ATIC"
"ENSG00000129534","MIS18BP1"
"ENSG00000101220","C20orf27"
"ENSG00000076003","MCM6"
"ENSG00000177602","GSG2"
"ENSG00000167088","SNRPD1"
"ENSG00000144554","FANCD2"
"ENSG00000100297","MCM5"
"ENSG00000129187","DCTD"
"ENSG00000103035","PSMD7"
"ENSG00000145912","NHP2"
"ENSG00000144559","TAMM41"
"ENSG00000144354","CDCA7"
"ENSG00000163918","RFC4"
"ENSG00000131148","EMC8"
"ENSG00000006634","DBF4"
"ENSG00000138160","KIF11"
"ENSG00000166851","PLK1"
"ENSG00000254726","MEX3A"
"ENSG00000163808","KIF15"
"ENSG00000131747","TOP2A"
"ENSG00000120802","TMPO"
"ENSG00000156970","BUB1B"
"ENSG00000070785","EIF2B3"
"ENSG00000113739","STC2"
"ENSG00000135476","ESPL1"
"ENSG00000136122","BORA"
"ENSG00000176208","ATAD5"
"ENSG00000186185","KIF18B"
"ENSG00000168246","UBTD2"
"ENSG00000121152","NCAPH"
"ENSG00000148335","NTMT1"
"ENSG00000126787","DLGAP5"
"ENSG00000163882","POLR2H"
"ENSG00000134057","CCNB1"
"ENSG00000146670","CDCA5"
"ENSG00000132436","FIGNL1"
"ENSG00000087586","AURKA"
"ENSG00000148773","MKI67"
"ENSG00000166451","CENPN"
"ENSG00000137807","KIF23"
"ENSG00000111206","FOXM1"
"ENSG00000090889","KIF4A"
"ENSG00000276043","UHRF1"
"ENSG00000088325","TPX2"
"ENSG00000235173","FAM203A"
"ENSG00000121988","ZRANB3"
"ENSG00000102384","CENPI"
"ENSG00000117399","CDC20"
"ENSG00000165480","SKA3"
"ENSG00000185163","DDX51"
"ENSG00000141401","IMPA2"
"ENSG00000137804","NUSAP1"
"ENSG00000167670","CHAF1A"
"ENSG00000184967","NOC4L"
"ENSG00000203760","CENPW"
"ENSG00000177084","POLE"
"ENSG00000106462","EZH2"
"ENSG00000067225","PKM"
"ENSG00000198901","PRC1"
"ENSG00000142798","HSPG2"
"ENSG00000103064","SLC7A6"
"ENSG00000197299","BLM"
"ENSG00000129317","PUS7L"
"ENSG00000143479","DYRK3"
"ENSG00000089685","BIRC5"
"ENSG00000127423","AUNIP"
"ENSG00000076248","UNG"
"ENSG00000097046","CDC7"
"ENSG00000171848","RRM2"
"ENSG00000276234","TADA2A"
"ENSG00000153044","CENPH"
"ENSG00000161179","YDJC"
"ENSG00000100632","ERH"
"ENSG00000198931","APRT"
"ENSG00000075218","GTSE1"
"ENSG00000172009","THOP1"
"ENSG00000188312","CENPP"
"ENSG00000169972","PUSL1"
"ENSG00000123485","HJURP"
"ENSG00000168496","FEN1"
"ENSG00000120699","EXOSC8"
"ENSG00000147316","MCPH1"
"ENSG00000128944","KNSTRN"
"ENSG00000186603","HPDL"
"ENSG00000104147","OIP5"
"ENSG00000197275","RAD54B"
"ENSG00000183207","RUVBL2"
"ENSG00000185480","PARPBP"
"ENSG00000136840","ST6GALNAC4"
"ENSG00000134690","CDCA8"
"ENSG00000105486","LIG1"
"ENSG00000100526","CDKN3"
"ENSG00000145604","SKP2"
"ENSG00000129810","SGOL1"
"ENSG00000142945","KIF2C"
"ENSG00000188486","H2AFX"
"ENSG00000135069","PSAT1"
"ENSG00000139354","GAS2L3"
"ENSG00000184445","KNTC1"
"ENSG00000070669","ASNS"
"ENSG00000111602","TIMELESS"
"ENSG00000170468","RIOX1"
"ENSG00000213339","QTRT1"
"ENSG00000130193","THEM6"
"ENSG00000130511","SSBP4"
"ENSG00000123219","CENPK"
"ENSG00000109685","WHSC1"
"ENSG00000101057","MYBL2"
"ENSG00000158402","CDC25C"
"ENSG00000115163","CENPA"
"ENSG00000112208","BAG2"
"ENSG00000169087","HSPBAP1"
"ENSG00000111665","CDCA3"
"ENSG00000159259","CHAF1B"
"ENSG00000186193","SAPCD2"
"ENSG00000168078","PBK"
"ENSG00000160957","RECQL4"
"ENSG00000174705","SH3PXD2B"
"ENSG00000181652","ATG9B"
"ENSG00000122034","GTF3A"
"ENSG00000102030","NAA10"
"ENSG00000076382","SPAG5"
"ENSG00000095380","NANS"
"ENSG00000184661","CDCA2"
"ENSG00000077152","UBE2T"
"ENSG00000222011","FAM185A"
"ENSG00000091651","ORC6"
"ENSG00000135451","TROAP"
"ENSG00000152147","GEMIN6"
"ENSG00000134285","FKBP11"
"ENSG00000092853","CLSPN"
"ENSG00000127586","CHTF18"
"ENSG00000168476","REEP4"
"ENSG00000131153","GINS2"
"ENSG00000101945","SUV39H1"
"ENSG00000211450","C11orf31"
"ENSG00000140451","PIF1"
"ENSG00000100097","LGALS1"
"ENSG00000132600","PRMT7"
"ENSG00000138587","MNS1"
"ENSG00000143811","PYCR2"
"ENSG00000079616","KIF22"
"ENSG00000165716","FAM69B"
"ENSG00000100417","PMM1"
"ENSG00000124762","CDKN1A"
"ENSG00000130768","SMPDL3B"
"ENSG00000169992","NLGN2"
"ENSG00000242173","ARHGDIG"
"ENSG00000157778","PSMG3"
"ENSG00000105655","ISYNA1"
"ENSG00000103202","NME4"
"ENSG00000105426","PTPRS"
"ENSG00000151500","THYN1"
"ENSG00000178718","RPP25"
"ENSG00000149929","HIRIP3"
"ENSG00000275714","HIST1H3A"
