liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
100036521	100038993	100213	100041194	100213	100008567	100038525
100037258	100039795	100226	100121	100503311	100033459	100038702
100038514	100039968	100503311	100213	100647	100034251	100038723
100038993	100042198	100647	100226	101476	100036526	100038909
100039795	100043057	101476	100503311	101540	100036768	100039225
100163	100043232	101540	100647	102103	100037278	100039495
100503085	100061	102103	100972	102371	100038347	100039674
100503386	100066	102371	101113	102693	100038363	100039707
100504474	100121	102693	101476	104086	100038426	100039964
100561	100163	104001	101488	104110	100038464	100039968
100637	100201	104086	101540	104158	100038563	100040270
100705	100503085	104110	101602	104252	100038591	100040462
100727	100504474	104252	102098	104582	100038645	100040822
100737	100637	104582	102103	104601	100038725	100041146
101488	101056100	105450	102371	105450	100038751	100041318
101502	101613	105827	102595	105827	100038755	100041450
102022	102093	105833	102693	105844	100038850	100042498
102103	102103	105844	103172	106042	100038882	100042793
102294	102371	106042	104086	106648	100038909	100043057
102633223	102570	106585	104110	106952	100038947	100043070
102644	102633223	106648	104158	107351	100039674	100043176
102866	103140	106952	104252	107607	100039707	100043541
103142	103149	107351	104582	107753	100039964	100043606
103149	103175	107528	104601	107765	100040462	100043726
103655	103694	107589	105171	108075	100040710	100043757
103711	103711	107607	105450	108089	100040736	100155
103844	104156	107723	105827	108927	100040944	100177
103988	104158	107753	105833	108995	100041146	100182
104009	104174	107765	105844	109672	100041450	100303737
104086	104175	108075	106042	109689	100042372	100313944
104158	104662	108089	106585	109700	100042498	100383
104349	104718	108116	106648	109979	100042614	100415785
104662	104776	108686	106877	110084	100042856	100415915
104816	105014	108927	106952	110197	100042926	100416360
105014	105242790	108995	107351	110454	100043102	100416900
105246089	105355	109042	107528	110532	100043177	100502579
105352	105387	109672	107589	110542	100043197	100502653
105355	105428	109689	107607	11302	100043204	100502698
105387	105887	109978	107723	114301	100043218	100502736
105827	106014	109979	107753	114332	100043270	100502920
105887	106068	110075	107765	11450	100043274	100503096
105892	106407	110084	108075	11464	100043308	100503190
106052	106840	110168	108089	11468	100043643	100503307
106564	106861	110197	108115	11472	100043682	100503338
106581	106869	11302	108116	11475	100043726	100503386
106648	106877	114301	108686	11482	100043757	100503422
106766	107022	114332	108927	11514	100043813	100503470
106861	107146	11450	108995	11522	100048534	100503498
107022	107568	114602	109042	11536	100048983	100503545
107141	107723	11461	109082	11537	100049168	100503620
107146	107747	11464	109672	11555	100049568	100503651
107173	107766	11482	109689	11568	100113412	100503680
107227	107869	11490	109978	11596	100121	100503704
107528	107885	11522	109979	11601	100123473	100503812
107568	107971	11536	110075	11603	100124661	100504026
107747	108017	11537	110084	11604	100124684	100504153
107766	108030	11555	110168	11607	100124685	100504333
107770	108037	11596	110196	11656	100124686	100504581
107869	108114	11600	110197	11668	100124688	100504714
107885	108116	11604	110454	11670	100124698	100504727
108030	108156	11607	110532	116847	100126034	100532730
108079	108159	11655	11302	117158	100126357	100750327
108112	108645	11656	11307	11754	100126462	100775173
108687	108687	11668	114301	11815	100126469	100775174
108735	108960	11670	114332	11826	100126471	100775175
109052	109019	11684	11450	11938	100127433	100855
109168	109079	116847	114602	12006	100177	100861855
109222	109093	117158	11464	12029	100182	101148
109254	109108	11747	11468	12064	100201	101490
109299	109154	11758	11472	12111	100273	101497
109305	109218	11785	11475	12161	100313944	101700
109672	109254	11826	11482	12258	100316903	101985
109731	109299	11841	11490	12263	100317	102294
109754	109342	11938	11514	12266	100328574	102442
109821	109575	12006	11515	12268	100342	102566
109900	109652	12010	11522	12345	100379146	102595
109901	109672	12029	11536	12350	100382	102631780
109959	109900	12050	11537	12389	100383	102631833
110198	109901	12064	11555	12390	100415915	102631965
110382	110095	12161	11596	12395	100434	102632086
110821	110175	12167	11604	12398	100463512	102632602
11363	110198	12258	11607	12409	100465	102632708
11430	110265	12263	11655	12500	100494	102633400
114301	110391	12274	11656	12501	100502698	102633410
11432	110460	12293	11668	12526	100502736	102633928
114664	110821	12345	11670	12554	100502920	102634072
114863	110842	12350	116847	12562	100502985	102634079
11490	110959	12351	117158	12577	100503000	102634160
11515	111175	12363	11747	12580	100503085	102634323
11522	112405	12389	11758	12583	100503104	102634739
11536	11363	12395	11797	12585	100503307	102634822
11611	11364	12398	11804	12638	100503311	102635243
11630	11370	12409	11815	12643	100503318	102635305
11655	11421	12458	11826	12709	100503422	102635853
11668	11429	12479	11841	12741	100503498	102636022
116873	11430	12481	11853	12828	100503502	102636133
116891	11438	12500	11857	12830	100503620	102636251
117149	114602	12501	11938	12865	100503652	102636330
11722	114644	12502	12006	12869	100503680	102636620
11727	114664	12511	12010	12870	100503797	102637238
11731	11472	12522	12029	12934	100504114	102637283
11732	11479	12526	12050	12937	100504229	102637410
117586	114863	12554	12064	12955	100504231	102637436
117591	11502	12562	12161	13008	100504255	102637492
