liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
100019	100034251	100039571	100039571	100042427	100019	100038385
100039571	100039346	100042427	100042427	100340	100038354	100038418
100040605	100039571	100043257	100088	100503895	100038391	100038453
100041230	100039751	100340	100340	100604	100038552	100038504
100042405	100040605	100604	100503895	101437	100038566	100038513
100042777	100040897	100608	100504508	102657	100038570	100038552
100043192	100041500	101437	100604	103142	100038714	100038708
100043209	100042777	101612	100608	104099	100038746	100039060
100043796	100043192	102657	101437	104156	100038759	100039123
100088	100088	103136	101612	104681	100039229	100039331
100102	100102	104263	102657	104886	100039257	100039864
100336	100340	104318	103136	105298	100039805	100040014
100340	100502766	104458	103551	105348	100039945	100040766
100502766	100503199	104681	104099	105785	100040340	100041071
100503659	100608	104886	104263	106344	100040531	100041286
100503799	100609	105148	104458	107272	100040608	100041639
100504508	100861615	105348	104662	107995	100040766	100042179
100515	100861685	105785	104681	108017	100040822	100042777
100608	101055703	105835	104886	108058	100041546	100042912
100616095	101055744	107221	105148	108148	100041694	100043125
100669	101055888	107272	105298	108897	100041953	100043143
100689	101471	107508	105348	109901	100042179	100043207
100861685	101497	107522	105675	110095	100042198	100043403
101055744	101502	108058	105732	112407	100042405	100043462
101113	101612	108143	105835	11428	100042427	100043497
101476	101631	108147	106344	11443	100042777	100043684
101497	101831	108673	107071	114606	100042807	100043686
101612	102162	108888	107094	114715	100043040	100043688
101739	102334	109077	107221	11520	100043251	100043914
101831	102545	109652	107272	11541	100043272	100044193
101943	102614	109857	107373	11542	100043313	100047123
102334	102626	109901	107508	11565	100043407	100049167
102502	102635048	110109	107522	11576	100043431	100049168
102545	102635166	110175	107686	11676	100043462	100088
102614	102657	110959	107995	11727	100043636	100101919
102626	102693	114606	108013	11768	100043752	100124367
102635048	102747	114641	108037	11828	100043906	100124368
102857	102920	114663	108058	11839	100044193	100124372
102920	103135	114715	108147	11846	100047123	100124396
103136	103136	11565	108176	11847	100048658	100124659
103468	103537	11566	108673	11891	100048985	100124684
104367	103551	11674	108682	11931	100087	100124698
104394	104318	11676	108888	11975	100088	100125929
104418	104346	116914	108897	12046	100101484	100126030
104681	104367	11768	108912	12047	100113398	100126469
104943	104394	11769	109154	12069	100125262	100134990
105348	104418	11792	109652	12070	100125263	100196896
105372	105348	11821	109857	12153	100126824	100198
105837	105372	11837	109901	12223	100163	100270707
105988	105782	11839	110033	12274	100170401	100303747
106344	105785	11844	110095	12337	100306874	100340
106582	105988	11847	110109	12361	100310872	100379609
106628	106344	11898	110198	12443	100310873	100416807
106672	106522	12034	110351	12475	100327264	100502593
106795	106572	12321	110542	12505	100336	100502766
106869	106582	12337	110606	12512	100415787	100503026
106957	106766	12450	110749	12534	100417936	100503082
107029	107045	12457	110959	12575	100418192	100503130
107094	107071	12462	112407	12578	100502635	100503185
107221	107094	12505	11363	12606	100502754	100503199
107272	107373	12512	11409	12642	100502766	100503380
107449	107522	12575	11428	12654	100502923	100503502
107586	107581	12606	114606	12655	100502938	100503583
107753	107765	12738	114641	12684	100502950	100503605
107823	107817	12822	114663	12702	100503003	100503636
107975	107823	13014	114715	12716	100503082	100503949
107995	107932	13180	11532	12738	100503130	100503965
108000	107939	13511	11564	12739	100503380	100503991
108067	107995	13557	11565	12740	100503394	100504049
108147	108067	13629	11566	12819	100503495	100504140
108167440	108167440	13663	11576	12822	100503536	100504267
108169090	108168494	13664	11637	13014	100503583	100504455
108176	108168824	13681	11674	13032	100503619	100504637
108679	108168840	13685	11676	13036	100503826	100515
108888	108176	13806	116871	13180	100504112	100609
108897	108673	13844	11692	13197	100504278	100678
108907	108689	13871	11720	13386	100504352	100705
108912	108907	14056	11757	13528	100504361	100737
109054	108912	14057	11768	13653	100504421	100952
109065	108927	14161	11769	13654	100504446	101055670
109077	108978	14187	11792	13663	100504601	101401
109225	109077	14281	11799	13710	100504618	101488143
109232	109225	14287	11812	13711	100504637	101565
109676	109674	14375	11821	13803	100515	101772
110006	109711	14381	11834	13806	100608	102124
110033	110033	14433	11837	13836	100609	102162
110052	110109	14571	11839	13844	100678	102448
110074	110147	14620	11845	13871	101056014	102614
110078	110208	14661	11846	14057	101056073	102631925
110109	110532	14786	11847	140781	101359	102632465
110147	110606	14791	11854	140795	101544	102633081
110310	110749	14869	11891	14120	101565	102633407
110417	110956	14873	11950	14121	101612	102634080
110606	112407	14911	11972	14130	101739	102634668
110749	112422	14942	12034	14187	101831	102634839
110809	11443	15220	12069	14281	101867	102635552
110816	114584	15251	12070	14302	101943	102636131
110956	11459	15277	12261	14344	101994	102637250
11307	11461	15387	12265	14345	102058	102637966
11308	114641	15451	12304	14433	102060	102638630
11443	114663	15452	12317	14528	102075	102638670
114641	11475	15526	12337	14571	102115	102638847
114663	11545	15893	12361	14573	102122	102639509
114741	11546	15929	12450	14619	102124	102639547
114774	115486883	16009	12462	14620	102216272	102639608
11481	11576	16425	12466	14621	102448	102640298
11518	11603	16525	12475	14623	102462	102640822
11544	11606	16548	12505	14712	102502	102640832
11545	11668	16644	12512	14792	102545	102640850
11546	11690	16664	12534	14825	102614	102641779
11576	116972	16668	12544	14915	102626	102680
11677	117149	16763	12556	14942	102633156	102920
11690	11745	16828	12575	14950	102633407	103080
11739	11797	16898	12578	14960	102633666	103551
11746	11799	170833	12606	14961	102633874	103573
11768	11810	17219	12615	14969	102634668	103743
11783	11816	17314	12630	14990	102634742	103963
11785	11821	17319	12654	14998	102634962	103964
11792	11837	17357	12684	14999	102635385	104027
11799	118445	17463	12716	15108	102635538	104103
11813	11846	17748	12738	15220	102637277	104110
11828	11852	17938	12740	15277	102637842	104271
11834	11867	17988	12819	15361	102638448	104445
11837	11910	18082	12822	15368	102638545	104709
11910	11989	18103	12972	15377	102638847	104732
11936	12023	18148	13014	15451	102639137	104871
11989	12028	18150	13034	15902	102640043	104884
12041	12034	18391	13180	16149	102640298	105243866
12047	12045	18432	13197	16176	102641859	105243925
12069	12047	18458	13511	16404	102644	105244114
12070	12051	18476	13528	16424	102657	105244354
12122	12070	18641	13629	16425	102902673	105244375
12144	12111	18648	13639	16427	102920	105244502
12162	12144	18693	13653	16440	103136	105246278
12217	12153	18704	13663	16447	103468	105246366
12236	12181	18746	13681	16477	103534	105246665
12301	12224	18824	13685	16525	103551	105450
12316	12236	19016	13711	16541	103573	105651
12337	12258	19079	13806	16628	103711	105734
12366	12259	19143	13871	16644	103733	105988
12406	12260	19170	13877	16668	103784	106042
12428	12262	192200	14056	16691	103836	106344
12445	12266	192212	14057	16763	103963	106393
12447	12306	19227	14120	16780	104103	106618
12465	12332	19280	14156	16782	104112	106757
12466	12363	19346	14187	16803	104184	106766
12468	12365	19376	14200	16819	104303	106795
12512	12366	19737	14204	16828	104383	106957
12514	12455	19777	14228	16889	104394	107271
12530	12462	19899	14287	16906	104444	107272
12532	12464	19921	14302	17067	104458	107351
12534	12475	19943	14344	17068	104625	107449
12545	12505	20019	14345	170833	104662	107476
12550	12514	20055	14375	171388	104718	107508
12566	12524	20103	14433	17153	104721	107513
12567	12532	20104	14450	171531	104725	107522
12575	12545	20111	14534	171543	104732	107527
12577	12560	20416	14571	17218	104871	107574
12615	12567	20440	14619	17219	104884	107581
12655	12575	20448	14620	17231	104886	107589
12704	12579	20509	14712	17319	104910	107686
12709	12615	20525	14786	17357	105005	107823
12740	12630	20641	14792	17381	105148	107869
12796	12642	20682	14793	17386	105193	107939
12826	12702	20732	14869	17829	105242854	107995
12895	12721	20743	14872	18082	105242887	108000
13006	12729	207920	14873	18140	105244086	108037
13007	12739	207965	14942	18476	105244529	108067
13048	12740	20810	14950	18612	105244644	108075
13057	12799	208449	14961	18641	105245359	108115
13384	12812	20856	14969	18700	105246056	108116
13386	12816	20901	14998	18719	105246071	108147
13411	12822	20917	14999	18746	105246278	108150
13433	12826	209354	15108	18778	105246846	108151
13436	12827	20969	15191	18792	105247240	108153
13496	12831	211666	15220	18805	105298	108156
13537	12835	212503	15277	18817	105351	108168742
13587	12837	212679	15278	18826	105522	108169039
13589	12842	212880	15361	19079	105651	108169050
13650	12843	213539	15377	19118	105653	108682
13664	12870	21379	15378	19143	105663	108760
13669	12931	213948	15382	19170	105675	108888
13681	12977	213989	15387	19224	105727	108900
13710	12988	214498	15451	19294	105734	108907
13728	13040	21454	15469	19369	105837	108911
13731	13411	214572	15473	19417	105940408	108912
13806	13433	214791	15481	19662	105988	108927
13808	13436	216829	15510	19668	106042	108961
13821	13537	216877	15516	19734	106248	109163
13822	13555	217011	15526	19737	106264	109212
13823	13587	21781	15893	19886	106344	109222
13829	13614	217869	15929	20295	106393	109242
13859	13626	217882	16009	20305	106565	109624
13877	13653	218121	16149	20351	106618	109637
14000	13654	21815	16319	20388	106707	109652
14026	13664	21816	16404	20416	106795	109660
140486	13681	219024	16425	20443	106957	109674
140488	13685	21915	16427	20448	107029	109697
