liver_myc	kidney_myc	lung_myc	lung_mycras	lung_ras	tall_myc	eumyc_myc
Mdn1	Wfdc17	Gm10335	Gm10335	Gm3839	Mdn1	F830115B05Rik
Gm10335	Gm2174	Gm3839	Gm3839	Smpdl3b	G730003C15Rik	Gm10701
Gm15710	Gm10335	Rbm3-ps	Rcc1	Tpsab1	Gm10287	Gm12522
Hist1h4m	Rps12-ps21	Smpdl3b	Smpdl3b	Lrrc8c	4732463B04Rik	Gm10369
Gm10282	Gm15710	Lrrc8c	Tpsab1	Dhx32	Gm10658	Gm14149
Gm10131	Gm3029	Noc4l	BC085271	Cd276	Prcd	4732463B04Rik
Rpl31-ps14	Gm10146	Dhx32	Lrrc8c	Rdh9	Gm15401	Gm10855
Gm4294	Gm10131	Grwd1	Noc4l	Itga9	Gm1976	Gm2026
Gm10169	Rpl31-ps14	Cd276	Dhx32	Etv5	Gm17244	Gm14295
Rcc1	Rcc1	Pwp1	Grwd1	Slc16a6	Gm10358	Gm2163
Pcsk9	Pcsk9	Kdm3a	Cd276	Rab15	Tmem254b	Snhg12
Ppp1r8	Smpdl3b	Csnk1d	Pwp1	Epdr1	D5Ertd605e	Gm11527
Smpdl3b	Kifc1	Rars	Epop	Golm1	Gm12184	Mroh2a
Kifc1	5430416N02Rik	Slc16a6	Itga9	Kdelr3	Gm11273	Gm13496
Cbarp	Noc4l	Rab15	Kdm3a	Rfc4	Dynlt1f	Snhg15
Gm7931	Nsun5	Iars	Rars	Psat1	Fancf	Gm3448
BC085271	Gm3411	Golm1	Tsr1	Cdc20	Mroh2a	Gm9803
Zfp518b	Gm21135	Kdelr3	Slc16a6	Fxyd4	Gm1604a	Gm10131
Noc4l	Rps12-ps22	Sgsm3	Rab15	Camk2d	Ly6c2	Gm10489
Snhg18	Gm29720	Ffar4	Iars	Galnt2	Gm10451	Cd300ld5
9930105H17Rik	Gm8503	Psat1	Epdr1	Aif1l	Sap18b	Gm4258
Spon2	Phrf1	Eprs	Golm1	Cela1	Gm9803	Amy2a1
