"","Median Log2 Fold Change Tumor versus Normal","Median Pearson Correlation Over All Tumors","Symbol"
"ENSG00000000003",-0.1465,0.131414369361461,"TSPAN6"
"ENSG00000000005",-1.6207,-0.00918860794900061,"TNMD"
"ENSG00000000419",0.2453,0.267086284893404,"DPM1"
"ENSG00000000457",0.0612000000000013,0.159216889594811,"SCYL3"
"ENSG00000000460",1.1032,0.170152573043483,"C1orf112"
"ENSG00000000938",-0.3491,0.116374960018585,"FGR"
"ENSG00000000971",-0.484599999999999,0.0738461516982047,"CFH"
"ENSG00000001036",0.357000000000001,0.125017654584605,"FUCA2"
"ENSG00000001084",0.1836,0.224580010490467,"GCLC"
"ENSG00000001167",0.431600000000001,0.273587940527649,"NFYA"
"ENSG00000001460",-0.00140000000000029,0.109216221078529,"STPG1"
"ENSG00000001461",-0.226099999999999,0.180625892749346,"NIPAL3"
"ENSG00000001497",0.459199999999999,0.212125589182129,"LAS1L"
"ENSG00000001561",-0.278499999999999,-0.0584507740260696,"ENPP4"
"ENSG00000001617",0.6799,0.110439552051062,"SEMA3F"
"ENSG00000001626",-1.7366,0.066119381660227,"CFTR"
"ENSG00000001629",0.317299999999999,0.159181514012879,"ANKIB1"
"ENSG00000001630",-0.0401000000000007,0.15155707986364,"CYP51A1"
"ENSG00000001631",0.179499999999999,0.119824423577826,"KRIT1"
"ENSG00000002016",0.0801999999999996,0.111484341140049,"RAD52"
"ENSG00000002079",0.5182,0.109484442764896,NA
"ENSG00000002330",0.0772999999999993,-0.00819849160777514,"BAD"
"ENSG00000002549",0.00559999999999938,0.248552932179205,"LAP3"
"ENSG00000002586",0.0577000000000005,0.0799079911613226,"CD99"
"ENSG00000002587",-0.0512999999999995,0.13608562520479,"HS3ST1"
"ENSG00000002726",0.1297,0.0270341404774361,"AOC1"
"ENSG00000002745",-0.1862,0.0700817575732697,"WNT16"
"ENSG00000002746",-0.3427,0.108668930155324,"HECW1"
"ENSG00000002822",0.472800000000001,0.125104396651764,"MAD1L1"
"ENSG00000002834",0.468500000000001,0.2535874875779,"LASP1"
"ENSG00000002919",-0.00810000000000066,0.174993560854332,"SNX11"
"ENSG00000002933",0.123200000000001,-0.0148575980919437,"TMEM176A"
"ENSG00000003056",0.295400000000001,0.23155862339814,"M6PR"
"ENSG00000003096",-1.015,0.0259649523704266,"KLHL13"
"ENSG00000003137",-0.8749,0.132747976639445,"CYP26B1"
"ENSG00000003147",0.325800000000001,0.0296067499448801,"ICA1"
"ENSG00000003249",1.1542,0.0525311792396507,"DBNDD1"
"ENSG00000003393",0.104200000000001,0.178981384547621,"ALS2"
"ENSG00000003400",-0.1243,0.0953715353451062,"CASP10"
"ENSG00000003402",-0.320500000000001,0.174450905242894,"CFLAR"
"ENSG00000003436",-0.8759,0.133785815118777,"TFPI"
"ENSG00000003509",0.1983,0.175916025598426,"NDUFAF7"
"ENSG00000003756",-0.188800000000001,0.142070349922913,"RBM5"
"ENSG00000003987",-0.3368,-0.0366425022442328,"MTMR7"
