Symbol,ID
MYC,4609
Pzp,11287
Aanat,11298
Aatk,11302
Abca1,11303
Abca4,11304
Abca2,11305
Abcb7,11306
Abcg1,11307
Abi1,11308
Abl1,11350
Abl2,11352
Scgb1b27,11354
Acadl,11363
Acadm,11364
Acadvl,11370
Acads,11409
Slc33a1,11416
Asic2,11418
Asic1,11419
Ace,11421
Ache,11423
Apoc4,11425
Macf1,11426
Aco1,11428
Aco2,11429
Acox1,11430
Acp1,11431
Acp2,11432
Acp5,11433
Acr,11434
Chrna1,11435
Chrna4,11438
Chrna6,11440
Chrna7,11441
Chrnb1,11443
Chrnb2,11444
Chrnd,11447
Chrne,11448
Chrng,11449
Adipoq,11450
Acrv1,11451
Acta1,11459
Actb,11461
Actc1,11464
Actg1,11465
Actg2,11468
Actl7a,11470
Actl7b,11471
Actn2,11472
Actn3,11474
Acta2,11475
Acvr1,11477
Acvr1b,11479
Acvr2a,11480
Acvr2b,11481
Acvrl1,11482
Aspa,11484
Ada,11486
Adam10,11487
Adam11,11488
Adam12,11489
Adam15,11490
Adam17,11491
Adam19,11492
Adam2,11495
Adam22,11496
Adam3,11497
Adam4,11498
Adam5,11499
Adam7,11500
Adam8,11501
Adam9,11502
Adamts1,11504
Adcy6,11512
Adcy7,11513
Adcy8,11514
Adcy9,11515
Adcyap1,11516
Adcyap1r1,11517
Add1,11518
Add2,11519
Plin2,11520
Adh1,11522
Adh7,11529
Adh5,11532
Adk,11534
Adm,11535
Gpr182,11536
Cfd,11537
Adnp,11538
Adora1,11539
Adora2a,11540
Adora2b,11541
Adora3,11542
Adprh,11544
Parp1,11545
Parp2,11546
Adra1b,11548
Adra1a,11549
Adra1d,11550
Adra2a,11551
Adra2b,11552
Adra2c,11553
Adrb1,11554
Adrb2,11555
Adrb3,11556
Adsl,11564
Adssl1,11565
Adss,11566
Avil,11567
Aebp1,11568
Aebp2,11569
Crisp1,11571
Crisp3,11572
Afp,11576
Aga,11593
Acan,11595
Ager,11596
Angpt1,11600
Angpt2,11601
Angpt4,11602
Agrn,11603
Agrp,11604
Gla,11605
Agt,11606
Agtr1a,11607
Agtr1b,11608
Agtr2,11609
Agtrap,11610
Agxt,11611
Nr0b1,11614
Gm4737,11615
Ahr,11622
Ahrr,11624
Ahsg,11625
Aicda,11628
Aif1,11629
Crybg1,11630
Aip,11632
Aire,11634
Ak1,11636
Ak2,11637
Ak4,11639
Akap1,11640
Akap2,11641
Akap3,11642
Akap4,11643
Alpl,11647
Akp3,11648
Alppl2,11650
Akt1,11651
Akt2,11652
Alas1,11655
Alas2,11656
Alb,11657
Alcam,11658
Abcd1,11666
Aldh1a1,11668
Aldh2,11669
Aldh3a1,11670
Aldh3a2,11671
Aldoa,11674
Aldoc,11676
Akr1b3,11677
Alk,11682
Alox12,11684
Alox12e,11685
Alox12b,11686
Alox15,11687
Alox8,11688
Alox5,11689
Alox5ap,11690
Gfer,11692
Alx3,11694
Alx4,11695
Ambn,11698
Ambp,11699
Amd1,11702
Amelx,11704
Amh,11705
Ampd3,11717
Mat1a,11720
Amy1,11722
Ang,11727
Ang2,11731
Ank,11732
Ank1,11733
Ank3,11735
Ankfy1,11736
Anp32a,11737
Slc25a4,11739
Slc25a5,11740
Anxa11,11744
Anxa3,11745
Anxa4,11746
Anxa5,11747
Anxa6,11749
Anxa7,11750
Anxa8,11752
Aoc3,11754
Prdx3,11757
Prdx6,11758
Aox1,11761
Ap1b1,11764
Ap1g1,11765
Ap1g2,11766
Ap1m1,11767
Ap1m2,11768
Ap1s1,11769
Fabp4,11770
Ap2a1,11771
Ap2a2,11772
Ap2m1,11773
Ap3b1,11774
Ap3b2,11775
Ap3d1,11776
Ap3s1,11777
Ap3s2,11778
Ap4m1,11781
Ap4s1,11782
Apaf1,11783
Apba2,11784
Apbb1,11785
Apbb2,11787
Apc,11789
Speg,11790
Apex1,11792
Atg5,11793
Birc3,11796
Birc2,11797
Xiap,11798
Birc5,11799
Api5,11800
Cd5l,11801
Aplp1,11803
Aplp2,11804
Apoa1,11806
Apoa2,11807
Apoa4,11808
Apobec1,11810
Apobec2,11811
Apoc1,11812
Apoc2,11813
Apoc3,11814
Apod,11815
Apoe,11816
Apoh,11818
Nr2f2,11819
App,11820
Aprt,11821
Aqp1,11826
Aqp2,11827
Aqp3,11828
Aqp4,11829
Aqp5,11830
Aqp6,11831
Aqp7,11832
Aqp8,11833
Aqr,11834
Ar,11835
Araf,11836
Rplp0,11837
Arc,11838
Areg,11839
Arf1,11840
Arf2,11841
Arf3,11842
Arf4,11843
Arf5,11844
Arf6,11845
Arg1,11846
Arg2,11847
Rhoa,11848
Rhob,11852
Rhoc,11853
Rhod,11854
Arhgap5,11855
Arhgap6,11856
Arhgdib,11857
Rnd2,11858
Phox2a,11859
Arl4a,11861
Arnt,11863
Arnt2,11864
Arntl,11865
Arpc1b,11867
Art1,11870
Art2b,11872
Art5,11875
Artn,11876
Arvcf,11877
Arx,11878
Arsb,11881
Arsa,11883
Asah1,11886
Asgr1,11889
Asgr2,11890
Rab27a,11891
Ass1,11898
Astn1,11899
Serpinc1,11905
Zfhx3,11906
Ate1,11907
Atf1,11908
Atf2,11909
Atf3,11910
Atf4,11911
Atm,11920
Atoh1,11921
Neurod6,11922
Neurod4,11923
Neurog2,11924
Neurog3,11925
Atox1,11927
Atp1a1,11928
Atp1b1,11931
Atp1b2,11932
Atp1b3,11933
Fxyd2,11936
Atp2a1,11937
Atp2a2,11938
Atp2b2,11941
Atp4a,11944
Atp4b,11945
Atp5a1,11946
Atp5b,11947
Atp5c1,11949
Atp5f1,11950
Atp5g1,11951
Atp5j,11957
Atp5k,11958
Atp6v1a,11964
Atp6v1b2,11966
Atp6v0d1,11972
Atp6v1e1,11973
Atp6v0e,11974
Atp6v0a1,11975
Atp7a,11977
Atp7b,11979
Atp8a1,11980
Atp9a,11981
Atp10a,11982
Atpif1,11983
Atp6v0c,11984
Slc7a1,11987
Slc7a2,11988
Slc7a3,11989
Atrn,11990
Hnrnpd,11991
Auh,11992
Aup1,11993
Pcdh15,11994
Akr1b7,11997
Avp,11998
Avpr2,12000
Axin1,12005
Axin2,12006
Azgp1,12007
Cep131,12009
B2m,12010
Baat,12012
Bach1,12013
Bach2,12014
Bad,12015
Bag1,12017
Bak1,12018
Nkx3-2,12020
Bard1,12021
Barx1,12022
Barx2,12023
Bax,12028
Bcl6b,12029
Bcan,12032
Bcap29,12033
Phb2,12034
Bcat1,12035
Bcat2,12036
Bche,12038
Bckdha,12039
Bckdhb,12040
Bckdk,12041
Bcl10,12042
Bcl2,12043
Bcl2a1a,12044
Bcl2a1b,12045
Bcl2a1c,12046
Bcl2a1d,12047
Bcl2l1,12048
Bcl2l10,12049
Bcl2l2,12050
Bcl3,12051
Bcl6,12053
Bcl7b,12054
Bcl7c,12055
Opn1sw,12057
Bdkrb1,12061
Bdkrb2,12062
Bdnf,12064
Bet1,12068
Bex2,12069
Bex3,12070
Bfsp1,12075
Glb1,12091
Bglap3,12095
Bglap,12096
Bglap2,12097
Bgn,12111
Bhmt,12116
Bicd1,12121
Bid,12122
Hrk,12123
Bik,12124
Bcl2l11,12125
Fabp7,12140
Prdm1,12142
Blk,12143
Blm,12144
Cxcr5,12145
Bmi1,12151
Bmp1,12153
Bmp10,12154
Bmp15,12155
Bmp2,12156
Bmp4,12159
Bmp5,12160
Bmp6,12161
Bmp7,12162
Bmp8a,12163
Bmp8b,12164
Gdf2,12165
Bmpr1a,12166
Bmpr1b,12167
Bmpr2,12168
Bmx,12169
Bnc1,12173
Bnip2,12175
Bnip3,12176
Bnip3l,12177
Smyd1,12180
Bop1,12181
