,SRR6206939_pass,SRR6206940_pass,SRR6206941_pass,SRR6206942_pass,SRR6206943_pass,SRR6206944_pass
0610005C13Rik,3.15256384938269,3.48221672967599,3.24533986726001,3.18310797584659,3.45653710592827,4.03481577538518
0610006L08Rik,0,0,0,0,0,0
0610009B22Rik,4.82488066113655,5.22664232118318,5.44199632863698,6.92138775638072,6.90690684592857,6.98300497675193
0610009E02Rik,1.9259976622072,1.95071910410435,2.18013519341862,2.16274272141116,2.31882020670699,2.04678626231186
0610009L18Rik,3.80285497219931,3.62401617074601,3.33613157624353,3.29075203858932,3.44504637925906,3.34528919672543
0610009O20Rik,9.66579199445786,9.84461404202292,9.76998680485963,10.0712810637443,10.0190405960577,10.2756031840383
0610010F05Rik,7.191198299895,7.48012703950984,7.92719215900687,9.17215642636253,9.25016905923398,8.9413756640486
0610010K14Rik,9.89811581920204,9.89891253776998,9.92286781917803,10.4650013384913,10.9253426317512,10.5364465802485
0610012D04Rik,0,0,0,0,0,0
0610012G03Rik,8.02330504072208,8.25489738608448,8.28507660117589,9.27048897557754,9.26756639869275,9.02614336118975
0610025J13Rik,0,0,0,0,0,0
0610030E20Rik,9.19219723595615,9.31506686710791,9.22814880984121,9.39051450829732,9.78133415248838,9.85787035261438
0610031O16Rik,0.725098337879881,1.16742519068196,0.6200896502252,0.734089448336371,0.738645079101663,0.920192949568358
0610033M10Rik,-1.96888008697474,-1.96787993635414,-1.93178451592771,-1.96744616979263,-1.96674615142501,-1.96783940422523
0610037L13Rik,9.07868538691811,9.12021403115751,9.20252061438375,9.73539289577656,9.49173842109213,9.33932413601895
0610038B21Rik,3.00154826508609,3.09335331451452,3.00376864498075,4.14217607833446,3.92430161732258,3.66467663583944
0610039K10Rik,4.68658159964032,4.64864974976584,4.85798682470729,3.69479187119367,3.92931578098595,3.67921820499533
0610040B10Rik,4.48047743083325,4.25726597483181,4.05600123654629,5.23166235082634,4.09195603588903,4.58784657450388
0610040F04Rik,0.281077649829867,0.168873857760552,0.285555452885913,0.393571605449444,0.345448531673056,0.287251078395137
0610040J01Rik,1.44310969397486,1.83726992396176,1.80564062495827,1.55132436842479,1.243235493039,1.454526374012
0610043K17Rik,-0.302003096943537,-0.206966823987793,-0.298188912762602,-0.397928332957382,-0.290993253413401,-0.398138318472958
1010001B22Rik,3.76525254040657,3.84417567157059,3.38084687654596,3.26658922770732,3.549261132851,3.51086185907465
1010001N08Rik,-1.55222987015859,-1.55000837354607,-1.44548803817501,-1.54904490771688,-1.54749005347758,-1.50082075607368
1110002E22Rik,-0.891394346524729,-0.890856135617574,-0.890988038308728,-0.890616108354037,-0.466604503815654,-0.89083387734165
1110002J07Rik,1.13979551108052,1.24218112217829,1.47470732876127,1.33514288504161,1.25406438644021,1.24259841230485
1110002L01Rik,6.72859758982336,5.93922831350553,6.22587813057012,8.75622297831674,8.66794975557196,8.81079517619508
1110002O04Rik,0,0,0,0,0,0
1110003F10Rik,3.0862221019133,2.837372670517,3.10888921122174,3.34619442156198,3.08604796857386,3.05417086415437
1110004E09Rik,7.82577676885515,7.87426629163194,7.51227399795562,9.89832646957091,9.93029986746558,9.70620766155251
1110004F10Rik,10.279453383335,10.5036886999315,10.4828879677792,11.463326702408,11.2151034159579,11.0241775932819
1110006O24Rik,3.58077351270946,3.47562896298996,3.38804291011828,4.23618458722074,4.56844333684304,4.25574078300944
1110008E08Rik,0,0,0,0,0,0
1110008F13Rik,9.61697955156645,9.83652466341746,9.78640572835526,11.1989443375025,11.5221304898088,11.1084417115356
1110008L16Rik,7.94665549883487,7.74151971940708,7.72547979881536,9.32034853759384,9.77949696849459,9.91241670048489
1110008P14Rik,8.94480143910499,9.13893198890402,9.08523957641913,8.78689432257092,8.61761997539532,8.31697820228314
1110012L19Rik,6.99811167319787,7.27275501243081,6.91863302508768,7.93310881182509,7.74816508352246,7.63441276982752
1110015O18Rik,0,0,0,0,0,0
1110017D15Rik,-1.00604006409741,-1.05995317317588,-1.1613960965211,-1.15965515247973,-1.15785043201072,-1.16066895192049
1110018N20Rik,0.596675224198476,0.521093053001375,0.577138486324876,0.310644678025267,0.311379438112228,0.422654256925679
1110019D14Rik,0.221312524440676,0.353864203634982,0.0908902515702632,0.231530739767853,0.0766629844829261,0.22868318021609
1110020A21Rik,4.42571225659478,4.3950912695571,4.75571659839124,4.56658466955544,3.93702570755612,4.35582954953052
1110025L11Rik,0,0,0,0,0,0
1110025M09Rik,3.60316131844127,3.29755226643129,3.23604915898454,2.8604779090718,2.33769804015088,2.67171498106217
1110028F11Rik,2.74492359685797,3.05828909715718,2.90978252198035,3.21688792411384,2.9948406161374,2.15574149615993
1110028F18Rik,0,0,0,0,0,0
1110032A03Rik,6.37877409927815,6.05220600493305,6.1627831628655,6.86904392760208,6.34829760587654,6.53752110010266
1110032F04Rik,5.1369789865905,5.48452149725641,5.46781308120011,9.74233268630551,8.21716680199154,9.03948066757095
1110034G24Rik,7.66595685214312,7.66035271552358,7.9635880898543,8.34335330482723,7.63163508316517,8.18176671247017
1110035H17Rik,4.02823220810311,4.11035128313925,4.33376139188875,3.23382557632357,3.25624433008813,3.30591990909493
1110036E04Rik,-1.50605918278985,-1.43470947427039,-1.43517099823624,-1.50331902317051,-1.50198131546486,-1.50407047878215
1110038B12Rik,8.69380290081373,8.87303455876674,8.93826944963535,11.266962184457,11.0823956507159,10.9714603526296
1110038F14Rik,8.80092805305942,9.10409071256092,9.03688301877452,9.62063614158299,9.48687540351098,9.36706510684159
1110046J04Rik,2.79742363647443,1.73962036025123,3.00515732098729,1.74818540685663,1.59410829819414,2.10120533767918
1110051M20Rik,7.3828822916798,7.61495783585306,7.60638714335308,7.82775174914417,8.29511995283301,7.70268512008983
1110057P08Rik,0,0,0,0,0,0
1110059E24Rik,9.20413311372535,9.68984246771469,9.52966051986259,9.69602078195643,9.2258495349869,9.20236296050181
1110059G10Rik,7.46665675896894,7.86883555556836,7.65792525851229,8.23144361637188,7.88575074261399,7.80719479733202
1110060G06Rik,0,0,0,0,0,0
1110065P20Rik,7.24938851078246,7.1863285792652,7.35482562660976,8.78354526249213,8.42721069650269,8.46898726786135
1190002N15Rik,9.01434348822166,8.84499251073443,8.71327610205511,9.67267809680176,9.62567567117448,9.81427703293195
1190005I06Rik,1.685275428049,1.91136001246896,1.92601100314254,2.6101147393259,2.87600806834234,2.33945397099933
1190007I07Rik,6.05461974342868,6.4600674656329,6.5179155984483,8.75900669272768,8.80248424223667,8.87213898927788
1190028D05Rik,-1.96913602605171,-1.96810007738304,-1.96835023589935,-1.93001325521989,-1.96692571127888,-1.96805809450154
1200007C13Rik,0.707319970532914,0.383343510294048,0.270892043477386,0.271609293587491,0.493953237570185,0.383587155948933
1300002E11Rik,7.7189370044537,8.09635164076998,8.05178422337647,8.70599221807966,8.38981950501588,8.93555761171511
1300017J02Rik,2.95946667442498,4.04512456946283,3.09949301623393,5.01983808092285,4.66660891504033,4.72466247381892
1500002C15Rik,3.85614367018166,4.06628333403063,3.77639562443738,3.80244846942251,3.9333775738751,3.57789072904423
1500002F19Rik,1.36841108766599,1.20682974932381,0.982432499188634,0.98378122714652,1.31712227499719,1.60312729226083
1500004A13Rik,10.0269900501851,9.95916032250539,9.99491340160246,9.79190282989366,10.1167878577718,10.2680472500771
1500005C15Rik,0.474578728701048,0.312327671678553,0.31100416773028,0.314734681227856,0.210489990175076,0.404757151286989
1500009C09Rik,-0.982690630393791,-0.977924795213067,-0.97909240714996,-1.07362300857266,-1.07173878104844,-1.07468147100112
1500009L16Rik,2.92292293791404,4.58407436903976,3.73309748392537,10.4566095963809,8.13792705217105,10.295278302123
1500011B03Rik,8.13214260748975,8.02928704725921,7.94069609567873,8.73551387831373,8.13235460810173,8.33480675175914
1500011K16Rik,7.30761810095898,7.50898220732012,7.85404311329952,8.33896993830239,8.66954862406506,8.18500445285443
1500012K07Rik,1.0631875703245,0.778575077517192,0.544967737451399,0.545744882659842,0.588995000078312,0.769491429045517
1500015A07Rik,6.57642817915058,6.66006323031443,6.10684420378348,6.33648813237148,5.94740187430078,5.96040144129766
1500015L24Rik,0,0,0,0,0,0
1500015O10Rik,-1.09837315895408,-1.09564761631472,-0.908035257735507,-1.09446554510009,-1.09255790252106,-0.996542350975651
1500026H17Rik,2.01904241161269,1.41442561905799,1.85124596041986,1.52725163741099,1.53570000981996,1.4147405479805
1500035N22Rik,-1.50626039408806,-1.50433387736533,-1.50479908821947,-1.50349834467927,-1.50214995068374,-1.36426946414777
1520401A03Rik,-1.96941034712701,-1.96833601701681,-1.96859544379588,-1.9678700787189,-1.92808615732849,-1.96829247868806
1600002D24Rik,0,0,0,0,0,0
1600002H07Rik,6.52197658597413,6.68791977547113,6.31680560747714,7.64435676898388,7.91120767890329,7.94477407961242
1600002K03Rik,6.73112236913181,6.89786632031217,7.05879059015647,7.45773483945288,7.19830135429421,7.23409148877468
1600010M07Rik,5.3242455227641,5.84100417010846,5.66096167009563,4.60476889472712,3.77795711077945,4.82756480863094
1600012H06Rik,7.58781628790764,7.77768192595971,7.58274407696895,7.62114532993428,7.42497493972157,7.65291496349673
1600012P17Rik,0.746103569974421,0.387832752348349,0.307410977054058,0.757028261080337,0.30913951798839,0.307758111484972
1600014C10Rik,8.80239449674854,8.64570668168112,8.55673275306397,8.36243286735144,9.02909129640502,8.48990451503929
1600014C23Rik,0,0,0,0,0,0
1600015I10Rik,0,0,0,0,0,0
1600017P15Rik,-1.43769600947389,-1.50358230745902,-1.43628151309617,-1.50277353909416,-1.50146833772365,-1.50350673431316
1600019K03Rik,0,0,0,0,0,0
1600020E01Rik,8.49333911504267,8.64614730454473,8.49817677304011,7.75684572193606,7.73554575067515,7.62822480898288
1600023N17Rik,-0.445329108568454,-0.44482348224631,-0.444947526008602,-0.167395655500275,-0.242436560302618,-0.444802542025428
1600025M17Rik,-0.0117777893081496,-0.204598305531985,-0.204763177015217,0.00149267340491697,-0.203802474388486,-0.00221006287111952
1600027J07Rik,0,0,0,0,0,0
1700001C02Rik,-1.50656281782956,-1.43632284527391,-1.50508410514463,-1.43040454328724,-1.5024034115524,-1.5045343487123
1700001C19Rik,-0.755285539305588,-0.725179568830728,-0.907042805429887,-0.906680722130841,-0.906295249108968,-0.824854194529977
1700001D01Rik,-1.96888008697474,-1.96787993635414,-1.93178451592771,-1.96744616979263,-1.96674615142501,-1.96783940422523
1700001F09Rik,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0
