,SRR6206939_pass,SRR6206940_pass,SRR6206941_pass,SRR6206942_pass,SRR6206943_pass,SRR6206944_pass
0610005C13Rik,11,6,8,14,8,22
0610006L08Rik,0,0,0,0,0,0
0610009B22Rik,24,32,40,134,127,143
0610009E02Rik,1,5,3,5,8,7
0610009L18Rik,19,14,9,8,10,9
0610009O20Rik,849,918,880,1061,982,1262
0610010F05Rik,184,147,175,619,676,543
0610010K14Rik,962,916,987,1394,1929,1541
0610012D04Rik,0,0,0,0,0,0
0610012G03Rik,264,298,309,627,602,533
0610025J13Rik,0,0,0,0,0,0
0610030E20Rik,611,634,602,655,844,949
0610031O16Rik,1,5,0,1,1,3
0610033M10Rik,0,0,1,0,0,0
0610037L13Rik,580,607,611,739,643,689
0610038B21Rik,5,6,5,26,19,15
0610039K10Rik,33,30,38,9,12,9
0610040B10Rik,27,24,22,30,13,18
0610040F04Rik,1,0,1,2,3,1
0610040J01Rik,2,7,5,3,0,2
0610043K17Rik,1,2,1,0,1,0
1010001B22Rik,17,18,9,7,11,11
1010001N08Rik,0,0,1,0,0,1
1110002E22Rik,0,0,0,0,4,0
1110002J07Rik,1,2,5,3,2,2
1110002L01Rik,74,53,59,519,519,567
1110002O04Rik,0,0,0,0,0,0
1110003F10Rik,9,5,9,13,8,8
1110004E09Rik,210,215,194,968,1023,851
1110004F10Rik,1285,1413,1375,2841,2337,2174
1110006O24Rik,10,8,7,22,31,23
1110008E08Rik,0,0,0,0,0,0
1110008F13Rik,797,888,867,2377,2903,2272
1110008L16Rik,269,224,208,668,799,888
1110008P14Rik,539,572,548,432,359,318
1110012L19Rik,130,153,117,251,209,203
1110015O18Rik,0,0,0,0,0,0
1110017D15Rik,2,1,0,0,0,0
1110018N20Rik,3,2,3,0,0,1
1110019D14Rik,1,2,1,1,0,1
1110020A21Rik,23,21,32,25,11,20
1110025L11Rik,0,0,0,0,0,0
1110025M09Rik,21,13,12,6,1,4
1110028F11Rik,6,7,7,13,10,1
1110028F18Rik,0,0,0,0,0,0
1110032A03Rik,86,71,74,107,79,91
1110032F04Rik,30,38,38,985,301,594
1110034G24Rik,205,209,252,333,186,286
1110035H17Rik,21,22,29,6,6,7
1110036E04Rik,0,1,1,0,0,0
1110038B12Rik,414,446,466,2521,2164,2143
1110038F14Rik,461,548,528,788,686,666
1110046J04Rik,6,2,10,3,1,2
1110051M20Rik,165,215,201,236,274,205
1110057P08Rik,0,0,0,0,0,0
1110059E24Rik,551,732,683,920,648,641
1110059G10Rik,175,220,217,301,242,218
1110060G06Rik,0,0,0,0,0,0
1110065P20Rik,170,155,150,412,345,342
1190002N15Rik,540,450,413,817,759,928
1190005I06Rik,0,1,1,13,19,8
1190007I07Rik,63,79,88,456,446,509
1190028D05Rik,0,0,0,1,0,0
1200007C13Rik,5,1,0,0,2,1
1300002E11Rik,253,254,282,384,323,465
1300017J02Rik,7,11,5,71,32,14
1500002C15Rik,16,20,13,13,15,10
1500002F19Rik,4,2,0,0,3,7
1500004A13Rik,1113,915,1015,818,1177,1292
1500005C15Rik,3,1,1,1,0,2
1500009C09Rik,1,1,1,0,0,0
1500009L16Rik,3,13,8,1831,312,1599
1500011B03Rik,296,281,259,373,270,320
1500011K16Rik,159,176,233,326,404,296
1500012K07Rik,4,4,0,0,1,1
1500015A07Rik,121,117,71,79,45,57
1500015L24Rik,0,0,0,0,0,0
1500015O10Rik,0,0,2,0,0,1
1500026H17Rik,9,1,6,2,2,1
1500035N22Rik,0,0,0,0,0,2
1520401A03Rik,0,0,0,0,1,0
1600002D24Rik,0,0,0,0,0,0
1600002H07Rik,100,96,77,195,244,248
1600002K03Rik,108,117,135,179,140,153
1600010M07Rik,51,55,55,16,12,30
1600012H06Rik,205,223,198,198,147,209
1600012P17Rik,5,1,0,3,0,0
1600014C10Rik,439,388,397,361,427,399
1600014C23Rik,0,0,0,0,0,0
1600015I10Rik,0,0,0,0,0,0
1600017P15Rik,1,0,1,0,0,0
1600019K03Rik,0,0,0,0,0,0
1600020E01Rik,413,419,383,199,183,196
1600023N17Rik,0,0,0,3,2,0
1600025M17Rik,2,0,0,2,0,2
1600027J07Rik,0,0,0,0,0,0
1700001C02Rik,0,1,0,1,0,0
1700001C19Rik,2,1,0,0,0,1
1700001D01Rik,0,0,1,0,0,0
1700001F09Rik,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0
1700001G11Rik,4,2,3,6,3,9
1700001G17Rik,4,1,2,14,4,16
1700001J03Rik,0,1,0,0,0,1
1700001J04Rik,0,0,0,0,0,0
1700001K19Rik,3,4,3,0,0,1
1700001L05Rik,29,18,21,8,2,4
1700001L19Rik,0,0,0,0,0,0
1700001N15Rik,0,0,0,0,0,0
1700001O22Rik,9,5,16,16,192,72
1700001P01Rik,14,10,10,8,6,3
1700003C15Rik,2,0,1,0,0,1
1700003D09Rik,0,0,0,0,0,1
1700003E16Rik,5,4,2,0,5,1
1700003E24Rik,0,1,0,0,0,0
1700003F12Rik,6,4,4,0,1,1
1700003G13Rik,0,0,0,0,0,0
1700003G18Rik,0,0,0,1,0,1
1700003H04Rik,0,0,0,0,0,0
1700003I16Rik,8,3,7,2,1,9
1700003I22Rik,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0
1700003M07Rik,0,0,1,0,0,0
1700003P14Rik,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0
1700006E09Rik,1,0,1,0,0,0
1700006F04Rik,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0
1700006J14Rik,0,3,1,1710,1,132
1700006P03Rik,0,0,0,0,0,0
1700007F19Rik,0,0,0,0,0,0
1700007G11Rik,1,0,1,0,0,0
1700007J10Rik,4,11,5,11,10,2
1700007K09Rik,1,0,1,0,0,0
1700007K13Rik,1,0,0,2,0,0
1700007L15Rik,24,12,25,36,34,31
1700007M16Rik,0,1,0,1,1,1
1700007P06Rik,1,0,1,0,2,0
1700008A23Rik,0,0,0,0,0,0
1700008B11Rik,14,11,9,1,1,2
1700008H02Rik,5,5,7,1,0,0
1700008J07Rik,54,39,43,94,91,90
1700008K24Rik,0,1,1,2,0,0
1700008N11Rik,0,0,0,0,0,0
1700008O03Rik,0,1,1,1,11,5
1700008P02Rik,1,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0
1700009J07Rik,5,1,0,0,0,0
1700009N14Rik,1,1,0,2,2,0
1700010B08Rik,1,2,3,0,3,0
1700010B13Rik,1,1,0,1,1,4
1700010D01Rik,0,0,0,0,0,0
1700010H22Rik,0,0,0,0,0,0
1700010I02Rik,0,0,0,0,0,0
1700010I14Rik,64,44,40,69,24,37
1700010J16Rik,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0
1700010K24Rik,0,0,0,0,0,0
1700010L04Rik,0,0,0,3,0,0
1700011B04Rik,1,2,1,0,1,0
1700011C11Rik,0,0,0,0,0,0
1700011D18Rik,0,0,0,0,0,1
1700011H14Rik,0,1,0,0,0,0
1700011I03Rik,4,1,0,1,1,1
1700011L03Rik,0,0,1,1,0,0
1700011L22Rik,0,0,0,1,0,0
1700011M02Rik,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0
1700012B07Rik,1,0,0,4,0,0
1700012B09Rik,1,0,0,0,0,0
1700012C08Rik,0,0,0,0,0,0
1700012C14Rik,0,0,0,0,0,0
1700012D14Rik,38,38,30,19,22,23
1700012D16Rik,0,0,0,0,0,0
1700012E03Rik,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,1,1
1700012J15Rik,0,0,0,0,0,0
1700012J22Rik,0,0,0,0,0,0
1700012P22Rik,0,1,0,0,0,0
1700013A02Rik,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0
1700013F07Rik,1,0,0,1,0,0
1700013G24Rik,2,0,1,0,0,1
1700013H16Rik,0,0,0,0,0,0
1700013M08Rik,0,0,0,0,0,0
1700013N06Rik,0,0,0,0,0,0
1700014D04Rik,9,3,2,1,0,0
1700014F14Rik,0,0,0,0,0,0
1700014L14Rik,0,0,0,0,0,0
1700015C17Rik,0,0,0,0,0,0
1700015F17Rik,0,1,0,0,1,1
1700015G11Rik,0,0,0,0,0,0
1700015I17Rik,12,8,10,11,11,6
1700015O11Rik,0,0,2,0,0,0
1700016A09Rik,0,4,6,10,4,7
1700016B01Rik,0,0,0,0,0,0
1700016B15Rik,0,0,0,0,0,1
1700016C15Rik,1,0,0,0,0,1
1700016D06Rik,3,2,2,6,2,1
1700016D08Rik,0,0,0,0,1,0
1700016F12Rik,0,0,0,0,0,0
1700016G14Rik,10,3,5,0,0,0
1700016G22Rik,0,0,0,0,0,0
1700016H13Rik,0,0,1,3,7,3
1700016K19Rik,7,8,8,1,0,0
1700016L21Rik,0,0,0,0,0,0
1700016P03Rik,58,56,47,0,7,5
1700016P04Rik,0,0,0,0,0,0
1700017B05Rik,5543,5201,5031,2281,2854,3043
1700017D01Rik,0,0,0,0,0,0
1700017G19Rik,0,0,0,1,0,0
1700017I07Rik,0,0,0,0,0,0
1700017J07Rik,0,0,0,0,0,0
1700017L05Rik,0,0,0,0,0,0
1700017M07Rik,1,2,0,1,1,2
1700017N19Rik,1,1,0,0,0,0
1700018A04Rik,0,0,0,0,0,0
1700018A14Rik,0,0,0,0,0,0
1700018A23Rik,1,0,1,4,5,2
1700018B08Rik,1,0,0,1,1,0
1700018B24Rik,2,1,0,0,0,0
1700018F24Rik,0,0,0,0,0,0
1700018G05Rik,0,0,0,0,0,0
1700018L02Rik,6,10,9,8,21,12
1700018P08Rik,0,0,0,0,0,0
1700019A02Rik,0,0,0,0,0,0
1700019A23Rik,0,0,0,0,1,1
1700019B21Rik,0,0,0,0,0,0
1700019D03Rik,21,22,22,29,19,14
1700019E08Rik,0,0,0,0,0,0
1700019F05Rik,0,0,0,0,0,0
1700019G24Rik,0,0,0,0,0,0
1700019N19Rik,2,0,0,1,0,2
1700019P21Rik,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,1
1700020D05Rik,8,11,4,2,1,5
1700020G03Rik,0,0,0,3,0,0
1700020G17Rik,1,1,0,1,1,1
1700020I14Rik,718,784,925,785,1058,1194
1700020L24Rik,22,11,11,58,39,64
1700020M21Rik,0,0,1,0,0,0
1700020N01Rik,0,0,0,0,0,0
1700020N15Rik,0,0,0,0,0,0
1700020N18Rik,3,3,0,0,0,0
1700021A07Rik,5,4,0,26,4,5
1700021F02Rik,0,0,0,0,0,0
1700021F05Rik,63,82,103,335,568,359
1700021F07Rik,0,0,0,0,0,0
1700021F13Rik,0,0,0,0,0,0
1700021J08Rik,15,25,13,6,6,9
1700021L23Rik,0,0,0,0,0,0
1700021N21Rik,0,0,0,1,0,0
1700021P04Rik,0,0,0,0,0,0
1700022A22Rik,0,0,1,0,0,0
1700022E09Rik,0,0,0,0,0,0
1700022H16Rik,0,0,0,0,0,0
1700022I11Rik,2,2,0,0,0,2
1700022N22Rik,8,10,7,5,5,1
1700023C21Rik,0,0,0,6,0,0
1700023F02Rik,0,0,0,1,0,0
1700023F06Rik,0,2,0,1,0,1
1700023G09Rik,0,0,0,0,0,0
1700023H06Rik,8,11,5,4,12,16
1700024B05Rik,1,0,0,0,0,0
1700024B18Rik,0,0,0,0,0,0
1700024G13Rik,0,0,0,0,0,0
1700024P04Rik,0,0,0,0,1,0
1700025A08Rik,0,0,0,0,0,1
1700025B11Rik,0,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0
1700025D23Rik,1,0,0,0,0,0
1700025F22Rik,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0
1700025G04Rik,186,201,174,72,50,72
1700025H01Rik,0,0,0,0,0,0
1700025J12Rik,0,0,0,0,0,0
1700025K24Rik,0,0,0,0,0,0
1700025L06Rik,0,0,0,0,0,0
1700025M24Rik,0,0,0,0,0,0
1700025N21Rik,0,0,0,0,0,0
1700025N23Rik,8,0,7,4,0,4
1700025O08Rik,0,0,0,0,0,0
1700026D11Rik,2,3,0,5,14,13
1700026F02Rik,0,0,0,0,0,0
1700026J12Rik,0,0,0,0,0,0
1700026J14Rik,0,0,1,0,0,0
1700027A07Rik,0,3,0,0,0,0
1700027A15Rik,0,1,0,0,0,0
1700027F06Rik,0,0,0,0,0,0
1700027F09Rik,0,0,0,0,1,0
1700027H10Rik,0,0,0,0,0,0
1700027I24Rik,0,0,0,0,0,0
1700028D13Rik,5,4,5,0,2,3
1700028E10Rik,84,46,35,36,12,12
1700028I16Rik,29,32,41,8,2,2
1700028J19Rik,9,11,8,8,26,10
1700028K03Rik,0,0,0,0,0,0
1700028M03Rik,0,0,0,0,0,0
1700028N14Rik,8,3,5,1,2,3
1700028P14Rik,0,0,0,0,1,0
1700028P15Rik,1,1,0,1,0,0
1700029B22Rik,1,0,0,0,0,0
1700029B24Rik,0,0,0,0,0,0
1700029E06Rik,3,3,1,1,1,2
1700029F12Rik,3,2,1,1,1,3
1700029H14Rik,7,4,3,0,0,0
1700029I15Rik,5,5,12,2,2,1
1700029J03Rik,0,0,0,0,0,0
1700029J07Rik,49,52,51,28,26,31
1700029M03Rik,0,0,0,0,0,0
1700029M20Rik,3,0,0,0,61,4
1700029N11Rik,0,3,0,0,0,0
1700029P11Rik,3,0,0,2,0,1
1700030A11Rik,0,0,0,0,1,0
1700030C10Rik,7,9,10,1,9,9
1700030C12Rik,1,0,0,0,1,0
1700030C14Rik,0,0,0,0,1,0
1700030F04Rik,0,0,0,0,0,0
1700030I03Rik,0,0,0,0,0,0
1700030J22Rik,12,12,11,16,11,13
1700030K09Rik,222,244,295,324,370,352
1700030L20Rik,0,0,0,0,0,0
1700030M09Rik,0,0,0,0,0,0
1700030N03Rik,4,1,3,0,2,0
1700030N18Rik,1,4,4,0,0,0
1700030O20Rik,0,0,0,0,0,0
1700031A10Rik,0,0,0,0,0,0
1700031F05Rik,0,0,0,0,0,0
1700031F10Rik,2,0,0,1,0,0
1700031L13Rik,1,0,0,0,0,0
1700031M16Rik,1,0,1,0,0,0
1700031P21Rik,1,0,1,0,0,0
1700034B16Rik,0,0,0,0,0,0
1700034E13Rik,1,0,0,0,0,0
1700034G24Rik,0,0,0,0,0,0
1700034H15Rik,141,148,157,49,55,78
1700034I23Rik,0,1,2,0,0,0
1700034J04Rik,0,0,0,0,0,0
1700034J05Rik,3,0,2,0,0,0
1700034K08Rik,1,1,0,0,3,0
1700034O15Rik,1,0,1,0,1,1
1700034P13Rik,1100,1149,651,982,2444,566
1700036A12Rik,0,0,0,0,0,0
1700036G14Rik,0,0,0,0,0,0
1700036O09Rik,0,0,0,0,0,0
1700037C06Rik,0,0,0,0,0,0
1700037C18Rik,99,98,95,89,72,61
1700037F24Rik,0,0,0,0,1,0
1700037H04Rik,353,388,388,1362,1289,1387
1700039E22Rik,0,0,0,0,0,0
1700039I01Rik,0,0,0,0,0,0
1700039M10Rik,0,0,0,1,0,0
1700039M15Rik,0,0,0,0,0,0
1700040D17Rik,0,1,0,1,0,1
1700040F15Rik,0,0,0,0,0,0
1700040F17Rik,0,0,0,0,0,0
1700040K01Rik,0,0,0,0,0,0
1700040L02Rik,7,9,5,26,63,64
1700040L08Rik,0,0,0,0,0,0
1700041C23Rik,0,0,0,0,0,0
1700041G16Rik,19,21,11,8,2,7
1700041I07Rik,0,0,0,0,0,0
1700041M05Rik,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0
1700042D02Rik,0,0,0,0,2,0
1700042G07Rik,0,0,0,0,0,0
1700042G15Rik,0,0,0,0,0,0
1700042O10Rik,1,0,3,0,0,1
1700044C05Rik,0,0,0,0,0,0
1700044K03Rik,0,0,0,0,0,0
1700045H11Rik,0,0,0,0,0,0
1700045I11Rik,0,0,0,0,0,0
1700046C09Rik,0,0,0,0,0,0
1700047A11Rik,0,0,1,0,0,0
1700047F07Rik,1,0,0,0,0,0
1700047G03Rik,0,0,0,0,0,0
1700047G07Rik,45,33,21,14,18,30
1700047I17Rik2,0,0,0,0,0,0
1700047K16Rik,5,2,5,3,2,4
1700047L14Rik,0,0,0,0,0,0
1700047M11Rik,2,7,2,8,1,4
1700047N06Rik,0,0,0,0,0,1
1700047O18Rik,0,0,0,2,1,0
1700048F04Rik,0,0,0,0,0,0
1700048M11Rik,2,2,3,0,0,1
1700048O20Rik,153,139,148,68,72,17
1700049E15Rik,0,0,0,0,0,0
1700049E17Rik1,0,0,0,0,0,0
1700049E22Rik,0,0,0,0,0,0
1700049J03Rik,0,0,0,0,0,0
1700051A21Rik,2,3,3,1,0,0
1700051K13Rik,0,0,0,0,1,0
1700051O22Rik,2,5,5,4,7,8
1700052H01Rik,0,0,0,0,0,0
1700052I22Rik,0,0,0,0,0,0
1700052K11Rik,114,89,96,162,118,147
1700054A03Rik,0,0,0,0,0,0
1700054K02Rik,0,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0
1700054M17Rik,0,0,0,0,0,0
1700054O19Rik,15,8,7,6,4,6
1700055C04Rik,0,0,0,0,0,0
1700055D18Rik,13,9,10,15,3,7
1700056E22Rik,52,65,44,25,32,23
1700056N10Rik,40,27,40,6,7,8
1700057G04Rik,0,0,0,0,0,0
1700057H15Rik,0,1,0,0,1,0
1700057H21Rik,0,0,0,0,0,0
1700058P15Rik,57,48,38,9,8,10
1700060C16Rik,0,0,0,0,0,0
1700060C20Rik,0,0,0,1,0,0
1700060J05Rik,7,4,5,2,0,2
1700060O08Rik,0,0,0,0,0,0
1700061E17Rik,0,0,0,0,3,1
1700061E18Rik,0,0,0,0,0,0
1700061F12Rik,0,0,0,0,0,0
1700061G19Rik,12,10,8,8,2,2
1700061H18Rik,0,0,0,0,0,0
1700061I17Rik,0,0,0,0,0,0
1700061J23Rik,0,0,0,0,0,0
1700061N14Rik,1,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0
1700063D05Rik,49,43,34,16,12,16
1700063H04Rik,0,0,0,0,0,0
1700063H06Rik,0,0,0,0,0,0
1700063I16Rik,0,0,0,0,0,0
1700063O14Rik,0,0,0,0,0,0
1700064H15Rik,0,0,0,0,0,0
1700064J06Rik,0,0,0,0,0,0
