,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gm38312,9561.11159881916,7.06359037523143,0.160417012176056,43.9447402562772,0,0
Nr4a1,50416.4662132305,-4.06326025787332,0.121738936362381,-33.3760363461543,3.05364630840379e-244,2.85347979288792e-240
Gm37697,5574.0044525277,7.2944547885018,0.230531010646773,31.5078756698566,6.77610184858568e-218,4.22128558160726e-214
Srm,6858.64599914122,4.12994103981233,0.135699637054599,30.4288089026353,2.28487192527286e-203,1.06754928528561e-199
Shmt1,2923.69871309157,4.6259432805997,0.155602059484464,29.7087506922457,5.91925970181494e-194,2.21250089134439e-190
Slc29a1,7751.98617355574,4.71033499437338,0.158836890602869,29.6470290159734,3.70421155991171e-193,1.15380016405317e-189
Hmga1-rs1,14409.708146774,3.33750224039965,0.127261922976249,26.2244312055601,1.39936892439459e-151,3.73611511828722e-148
Uhrf1,4440.92425846242,3.99293961951033,0.153899039209726,25.9383632618592,2.46022825624068e-148,5.74740073511026e-145
Cenpv,1418.32219108196,5.69643900449306,0.219325939342697,25.854469690071,2.16721278119967e-147,4.50033774087119e-144
Cdk1,1572.53478663047,4.97482996823104,0.196293965867608,25.2920895651195,3.9030589748001e-141,7.29442691800391e-138
Cdc6,1380.12838385189,4.69177033027668,0.185781567848378,25.2096445584425,3.1400486269072e-140,5.33494261711533e-137
Stmn1,9795.58185927175,4.59879001112786,0.185703581404645,24.7592604302833,2.46423996795488e-135,3.83784839675906e-132
Mcm6,6264.76218642156,3.73819321521087,0.154320820877615,24.2202294011686,1.3621220755754e-129,1.95820765157143e-126
Bcat1,2052.27283748552,6.09875076338961,0.251044181263818,24.1872338270529,3.03138157902107e-129,4.04667788073749e-126
Cks1b,1890.74826687654,4.25062787038067,0.176804894832268,24.0222285622171,1.62918169707823e-127,2.02985178244633e-124
Rrm2,3894.98089404286,4.33664395257159,0.182079488536059,23.8079286024834,2.76443954831301e-125,3.22903816990136e-122
Stc2,961.546368745608,4.67152761774322,0.19606597331542,23.7641682306089,7.84249910449068e-125,8.62167445669566e-122
E2f8,884.374461278274,4.12570629481411,0.174718335806941,23.5730474723175,7.28630072748248e-123,7.56520412755112e-120
Rad51,815.122434504652,4.4307770968268,0.188253607572439,23.4785554773571,6.75587799784536e-122,6.64529494219641e-119
Dhcr24,2356.62498031658,3.42778918745737,0.146186267957273,23.4415228096431,1.61314959719986e-121,1.50740764110341e-118
Kif20a,1740.60314567661,4.33856859160361,0.185229650485975,23.4003465143222,4.23900091297566e-121,3.772508955362e-118
Psat1,5763.32532088834,4.30135004119606,0.184847578857242,23.2638933181781,1.02914337415731e-119,8.74257296346635e-117
Pclaf,2826.57741960691,4.46042154908192,0.19319616631223,23.0730359944856,8.63842510207915e-118,7.01928377098945e-115
Adarb2,964.376541753478,5.73714381466112,0.248398778280676,22.9314024483112,2.25933455631947e-116,1.75936264679394e-113
Birc5,1410.85232385745,4.51233827899454,0.197733006905833,22.7906696541804,5.67411955902166e-115,4.24174481754223e-112
Mif,9138.05387649023,2.9779216460477,0.130697352257993,22.7838951410773,6.6232375754582e-115,4.7608341172207e-112
Tmem97,1574.10242852019,4.71763594586283,0.209717522774514,22.4611768443083,9.95172284336794e-112,6.88843511924828e-109
Mcm10,1337.87750763521,5.19322919532567,0.230897834806841,22.427602803542,2.11742229089179e-111,1.41330375694559e-108
Ccnb1,2907.24026230708,5.68983207192952,0.253774009246996,22.3797816711607,6.19470862314281e-111,3.99216929165228e-108
Lig1,3609.88630731017,3.5616054438526,0.15945956334664,22.3311424744491,1.84158976731021e-110,1.14724903870868e-107
Exo1,879.510829631784,5.16697806450089,0.230909768156429,22.2970920990687,3.94304457906239e-110,2.37714710122893e-107
Tfdp1,6881.28242864863,4.2934621860562,0.193698073500446,22.161282968879,8.12040252154741e-109,4.74256883516249e-106
Cdca3,1030.13897348958,4.16278378112488,0.187876491918273,22.1268245139642,1.74437152033603e-108,9.8789573768364e-106
Trp53inp2,895.364850835033,-4.0110536849708,0.181638922447523,-22.0402196027084,1.18560890706738e-107,6.51701319534775e-105
Kif2c,889.958647084553,5.01700528827679,0.228763618489821,21.8460143361062,8.48206846334845e-106,4.52918221461483e-103
Ube2c,2991.25962203519,4.71455993991358,0.215863837806888,21.8241109490244,1.36975246808007e-105,7.11091774331902e-103
Fignl1,749.661512477039,4.78232453690098,0.219861720360758,21.6658053735787,4.31303886603109e-104,2.1785509018177e-101
Cdc45,903.796901959547,3.98478872563143,0.183916727870769,21.6359253516376,8.24779027737785e-104,4.05639348668196e-101
Wwc1,622.403709057786,6.09864608871502,0.27722135800368,21.6176286220147,1.22617793299978e-103,5.8759075358546e-101
Ppil1,2084.43439519,3.75467162692266,0.173869907239839,21.58516418045,2.47607772085899e-103,1.15688541312834e-100
Mcm3,5887.49514440173,2.78726299306419,0.129621962554276,21.5018419639734,1.49629824136943e-102,6.82056532511054e-100
Dut,3459.4616611174,3.64172518050928,0.169813745611876,21.4405155066604,5.59900839820876e-102,2.49142542747913e-99
Dhfr,1051.14287530871,3.90137399641526,0.182081472764146,21.4034980161076,1.23950723885055e-101,5.38724436904138e-99
C1qbp,8169.73207454116,3.54033916216633,0.166084235692229,21.3147222872222,8.28977482185642e-101,3.52108185558351e-98
Plk1,2422.38792793615,4.84711195527287,0.227334028767768,21.2990034991993,1.15961759720262e-100,4.81602072758217e-98
Osgin1,650.774889602285,-5.5519006689179,0.25896779942696,-21.2532876455769,3.07371445696534e-100,1.24879672796142e-97
MYC,13279.64934506,12.4968521337536,0.460306971655239,21.1020606282494,7.61444846864356e-99,3.02779632830807e-96
Ccna2,3041.23589346007,4.76961219223866,0.22675135803695,21.0185124406368,4.44136004361927e-98,1.72926203865001e-95
Mcm5,6712.22139006431,3.04550745369732,0.145047709304346,20.9952793988456,7.24358139668666e-98,2.762761075973e-95
Aurkb,1777.65565599121,4.38658553630624,0.208798323703694,20.9887347263716,8.31292833325382e-98,3.10720635240361e-95
Tpx2,2018.26896926959,4.23102472867673,0.202299405597604,20.8997584935561,5.38165581671467e-97,1.97211305016824e-94
Pdcd1,1926.11977553415,6.12970692664229,0.292149788770659,20.886947209799,7.03767013686772e-97,2.52936571515232e-94
Cd59b,1184.73313680271,6.04828623326429,0.287905505299712,20.8535548158313,1.41508904171043e-96,4.98992435858987e-94
Zfp704,730.382944564571,6.76285364596413,0.317844163467509,20.805219808133,3.88176907666652e-96,1.34345152358927e-93
Tpi1,7878.86294147528,3.53505877283193,0.170001550522882,20.7924425471342,5.06652211955068e-96,1.72160421622332e-93
Mis18bp1,711.439118512906,3.88911338026392,0.187552111916544,20.7025373473842,3.28606287205079e-95,1.09666480385281e-92
Gm45234,812.348237731293,-4.13253625600112,0.199479138637708,-20.6768477458612,5.59814916689011e-95,1.83550543473701e-92
Rapgef4,856.706014856438,-4.1114134074802,0.198594770858108,-20.6658552937208,7.03005262408496e-95,2.26525264640558e-92
Sssca1,2130.71846598227,3.52577916540285,0.171304628620895,20.5763067651492,4.47505638767076e-94,1.41753099710473e-91
Cdca8,1470.98274394398,4.50474248822475,0.21866694396274,20.5740830294295,4.68506749348364e-94,1.45932043976193e-91
Mfhas1,1043.28470153566,-3.53317615612364,0.173294503526189,-20.3726818090648,2.92228326920258e-92,8.95320524887328e-90
Gtse1,794.001182132863,3.8120844115984,0.187189251132984,20.3375569936111,5.98377976126284e-92,1.80372354771357e-89
Sgo1,530.54495644833,4.59614296613862,0.225364215511793,20.2985697213722,1.32382182172311e-91,3.92712794066399e-89
Ncapg,1172.50020157835,4.704181229938,0.233306858982962,20.122122982485,4.72409411042597e-90,1.37950929421486e-87
Mt1,3040.20147636855,6.53564300155187,0.323668665331675,20.1141567501675,5.54743487120784e-90,1.59501554320005e-87
Kif11,2410.91739896857,4.59505719792965,0.228321180301947,20.1086633772373,6.19713398080687e-90,1.75482177223181e-87
Acot7,2265.2682605434,3.37734130885013,0.167973215757633,20.1009643257958,7.2373563447201e-90,2.0187903392011e-87
Pik3r4,3085.8537638661,-2.73293433669076,0.136109510120922,-20.0773364944998,1.16474752754502e-89,3.20117155033661e-87
Ybx3,8547.57582912442,3.94723636369399,0.196734894981153,20.0613294550636,1.60728854912536e-89,4.35342256443534e-87
CT009718.4,4328.14210939003,4.73199371386861,0.236011802266312,20.0399650854281,2.46940776911462e-89,6.59296597099759e-87
Btg2,6931.83815790447,-3.00226219930068,0.150357824165178,-19.9662116261068,1.08367617478196e-88,2.85251042683101e-86
Top2a,7681.87937938621,4.32194927177355,0.216586458605773,19.9510214759623,1.46857246536915e-88,3.81196538962277e-86
